,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S,LB_BATCH_mu=1.78_S,GLC_BATCH_mu=0.67_S,LB_BATCH_mu=2.3_S,GLC_BATCH_mu=1.03_S
b3433,19552.6616,8275.9305,12952.5888,9570.944,7474.7882,8103.3063,11801.3808,10307.6125,10755.5445,5918.352,3721.5256,2447.58,7799.506200000001,8245.022400000002,16852.01,18128.6214,23470.2258,14484.623999999998,7732.7844000000005,5168.8926,7982.868300000001,15972.352399999998,5129.1492,22364.895,3066.3008,20425.0035
b2525,3893.64,13850.429,10848.0192,2382.892,2724.6452999999997,2469.0225,3337.3824000000004,2572.7625,2552.7555,2197.5719999999997,1399.6735999999999,1221.7665,781.8282,743.6934,2744.364,4680.6562,4291.7238,3414.1659999999997,2486.1276000000003,1825.3839000000003,2665.2819000000004,4110.4336,12879.53,4097.85,11329.6998,5549.4633
b3463,354.361,710.2955,623.904,166.11749999999998,261.6708,324.0547,351.26520000000005,359.4,314.29350000000005,250.40399999999997,177.32,183.09349999999998,281.83140000000003,349.8714,431.998,625.0401,419.5527,448.89599999999996,413.4768,305.8383,398.3004,558.2264,448.8676,305.205,756.3292,673.3434000000001
b2799,58.717,502.197,128.14079999999998,242.73049999999998,161.89960000000002,154.4883,109.85040000000001,127.27499999999999,122.22900000000001,184.236,202.3528,234.7925,87.5772,87.7392,33.138,60.791999999999994,60.71099999999999,74.48,177.85680000000002,210.0786,171.57,73.9556,296.3548,19.335,75.9076,21.5409
b2091,182.21439999999998,2643.3605,1252.9728,1248.0375,1191.7426,815.6191,816.2088000000001,762.4250000000001,1052.46,1585.2359999999999,1253.8760000000002,1217.9759999999999,153.2034,149.931,208.48799999999997,356.4676,153.60029999999998,495.44599999999997,984.8652000000001,801.3423,1183.6782,607.688,279.33119999999997,67.5,73.85840000000002,69.7203
b3945,76.0268,115.3905,67.8528,64.7795,51.4096,44.395900000000005,46.88640000000001,53.05,63.24750000000001,63.024,65.4576,70.4045,85.27680000000001,88.97040000000001,58.645999999999994,64.1892,53.2287,30.575999999999997,29.6736,56.8986,31.708199999999998,25.5744,251.962,84.06,50.903000000000006,19.8594
b3455,287.8624,368.68199999999996,195.1488,194.7755,370.54789999999997,457.81880000000007,402.7848,298.6625,632.556,520.1519999999999,347.9736,290.24399999999997,163.11780000000002,165.40200000000002,245.182,299.66880000000003,242.3883,348.866,328.1388,287.2791,463.2132,530.9648,25.9064,291.09000000000003,43.6436,499.97190000000006
b2913,16121.685999999998,1955.4464999999998,3993.7535999999996,5361.805999999999,6185.9668,9880.0462,8006.2356,7623.2625,13079.9205,7311.912,4299.9008,3181.3125,8867.9934,10431.568800000001,15356.642,15338.6709,20740.818,16668.778,3972.2364000000002,4555.7508,5578.8243,11369.0936,1778.0228000000002,18169.02,1190.4762,15075.780299999999
b2834,344.71919999999994,518.709,413.45279999999997,167.67,198.9582,275.74190000000004,291.0204,180.26250000000002,211.51800000000003,156.94799999999998,141.9912,125.3715,329.832,297.04320000000007,343.82599999999996,362.5915,442.77869999999996,255.304,217.8528,196.1259,143.6157,280.9484,260.35720000000003,165.89999999999998,147.5642,139.9008
b0483,57.112399999999994,31.992,6.8351999999999995,8.4755,37.5158,56.068,53.13,36.800000000000004,42.93000000000001,28.247999999999998,16.4112,10.725499999999998,2.1384000000000003,1.134,52.43,90.77080000000001,52.2879,60.31199999999999,58.594800000000006,34.332300000000004,43.602,74.4144,184.1856,192.14999999999998,171.348,251.92410000000004
b0495,42.230799999999995,96.191,93.4464,35.742,44.069,27.2087,59.162400000000005,65.25,21.978,24.947999999999997,22.880000000000003,15.266499999999999,7.452,17.577,36.568,54.161500000000004,26.1513,47.31999999999999,49.024800000000006,34.6875,35.8491,60.872400000000006,5.9784,3.4050000000000002,4.2728,5.186100000000001
