,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
b4244,13.34,1.56,16.04,8.0,1.52,7.35,8.45,6.02,6.63,5.97,7.09,3.16,9.06,14.24,10.7,7.01,5.93,4.59,8.65,4.9,5.95,12.84
b4254,39.67,3.05,37.16,9.62,15.22,6.05,13.21,8.79,7.5,3.67,4.25,5.96,17.57,39.51,7.72,46.97,9.42,8.67,3.91,3.29,9.88,6.27
b4013,15.24,10.18,7.2,0.44,3.38,5.59,4.94,0.91,3.66,2.83,5.25,2.47,12.25,12.61,8.37,8.61,9.14,5.47,5.08,11.54,5.99,9.91
b0120,9.7,3.78,8.72,6.43,2.4,6.38,1.07,10.95,1.28,1.76,2.46,4.83,22.09,5.95,17.49,23.63,8.68,13.34,2.22,7.45,7.28,11.62
b3038,12.78,9.15,13.63,7.55,14.32,11.24,13.78,13.8,14.01,5.07,7.34,4.44,16.32,1.94,25.48,34.7,8.98,3.28,11.4,20.63,2.0,12.33
b2091,0.54,9.64,7.08,9.61,8.38,14.89,4.3,12.36,2.01,6.05,11.68,1.86,14.32,26.21,18.95,66.45,5.22,11.46,3.55,17.45,5.36,14.78
b0078,7.78,7.02,17.71,8.69,6.1,4.78,5.43,4.41,5.94,11.78,1.65,2.51,3.41,9.76,14.64,2.48,2.63,3.47,10.55,8.5,8.61,3.19
b3455,12.82,8.69,17.57,33.73,5.55,17.11,6.41,38.84,11.62,4.13,14.16,2.53,30.13,7.33,18.82,10.8,13.51,29.43,10.37,22.31,13.53,4.88
b1247,12.04,17.87,11.43,29.62,15.18,4.91,2.9,34.65,10.32,9.68,13.29,4.52,68.78,55.52,57.6,87.08,45.27,33.37,29.06,31.54,2.59,12.31
b1034,11.15,2.8,13.56,9.55,4.67,8.95,2.06,11.49,9.72,12.97,10.4,7.49,12.68,9.94,19.09,35.83,6.21,2.09,5.27,4.73,5.87,1.37
b3933,2.76,1.76,2.08,7.95,10.44,5.3,7.11,13.66,7.75,8.39,5.87,5.59,7.67,6.16,18.15,34.24,6.39,1.9,9.71,2.66,11.21,11.92
b2113,9.78,2.49,7.32,2.0,5.91,5.41,5.44,21.12,11.37,7.76,4.85,2.29,11.73,3.65,19.81,11.39,7.63,6.68,9.84,4.94,3.65,7.62
b3741,15.17,4.71,4.87,5.25,17.75,15.12,7.02,16.1,11.17,6.57,12.15,4.78,3.73,43.05,29.25,2.43,2.86,6.29,23.22,18.43,8.69,7.18
b2529,1.68,5.95,8.13,9.13,7.38,1.7,3.95,2.09,11.77,9.13,1.79,4.32,17.63,29.6,3.83,17.08,6.08,8.25,10.03,0.59,14.91,6.46
b3605,9.63,5.59,18.71,5.1,9.95,10.08,5.35,13.73,2.4,34.99,3.3,6.55,22.82,10.64,15.87,19.8,11.99,4.34,1.75,10.26,12.83,12.37
b2287,10.48,6.55,1.93,7.21,4.33,15.78,3.77,17.19,6.15,3.13,21.97,13.3,19.29,17.71,18.16,3.99,7.25,15.92,2.96,11.35,12.25,3.95
b3731,18.06,5.67,4.86,6.15,3.48,7.17,8.98,3.24,3.59,6.85,9.56,1.33,3.86,11.32,7.4,35.16,13.86,7.97,10.22,9.8,13.15,9.28
b4154,13.2,10.11,33.13,22.85,5.47,7.43,1.35,4.46,11.71,2.74,1.12,8.36,40.64,32.36,8.34,14.44,6.35,10.53,13.99,3.35,5.25,9.08
b1378,19.85,5.04,17.5,18.95,13.59,5.55,8.63,16.0,11.44,6.11,6.17,2.5,10.69,4.48,27.24,15.28,9.21,11.66,24.27,23.05,16.66,19.99
b2034,10.98,8.28,7.21,10.43,7.77,11.75,11.95,18.82,5.13,7.51,4.95,6.02,2.97,10.25,15.01,30.92,9.46,9.0,6.46,17.24,6.34,7.29
b0163,24.29,4.93,9.6,13.86,5.21,4.32,4.05,10.23,8.47,3.18,4.12,2.88,5.04,9.36,15.28,26.25,1.62,6.58,7.1,19.34,12.74,12.39
b0144,,,,,,,,,,,,,,,,,,,,,,
b0110,,,,,,,,,,,,,,,,,,,,,,
b2430,,,,,,,,,,,,,,,,,,,,,,
b3838,25.34,29.98,2.69,15.31,8.31,5.8,7.94,6.51,5.95,7.75,8.18,6.72,14.33,12.66,8.03,6.72,4.5,1.51,8.79,8.36,2.9,9.22
b1743,7.87,4.61,8.05,13.41,8.34,12.08,11.53,17.17,19.66,14.39,7.99,18.53,17.81,14.94,28.65,37.84,10.98,18.62,12.82,11.28,14.92,12.98
b3210,16.01,2.17,1.17,15.9,7.3,6.71,9.5,15.78,5.09,12.73,8.68,3.85,44.69,23.05,8.82,24.79,5.05,11.75,5.81,12.55,8.37,9.82
b0598,27.94,8.63,16.2,2.62,7.12,24.16,3.09,28.68,11.2,9.2,12.3,3.16,8.45,26.68,60.94,27.52,27.13,25.88,9.93,18.47,10.12,13.84
b0742,17.0,8.53,10.09,7.63,8.26,14.84,11.8,19.91,4.65,3.29,10.03,17.92,26.45,28.31,16.99,16.05,34.28,25.9,22.24,14.69,12.9,10.04
b1128,10.45,4.4,10.38,1.68,4.5,7.51,7.13,6.8,4.15,1.9,7.44,6.85,7.38,15.08,13.96,17.72,9.39,11.98,6.62,10.56,2.22,6.38
b2513,10.99,6.24,7.98,6.88,11.78,4.93,3.99,11.86,12.66,5.48,8.56,5.54,2.71,3.38,6.69,9.24,4.16,9.74,5.94,4.59,8.98,9.92
b1703,12.31,13.59,1.52,10.65,9.68,24.79,1.11,12.39,9.83,7.62,1.64,7.8,18.16,16.13,15.59,12.19,10.89,7.41,8.19,10.08,2.76,0.91
b1647,29.48,6.05,16.74,12.14,45.01,7.26,20.19,7.38,14.0,23.85,12.44,13.55,27.72,5.59,33.82,53.5,11.27,8.32,9.25,7.18,23.68,12.25
b4067,79.78,30.99,35.01,6.2,3.7,18.71,7.34,39.39,5.42,8.8,12.46,7.13,34.35,5.9,18.08,41.77,2.49,17.13,11.08,10.88,26.88,20.14
b3830,43.86,21.15,26.71,28.71,3.67,14.77,2.2,6.55,9.77,14.61,8.88,6.98,19.06,4.41,15.28,28.62,6.64,25.97,13.42,7.27,10.05,8.38
b1905,23.23,16.62,4.31,13.07,8.19,27.12,3.31,10.5,13.47,11.39,4.6,2.42,14.07,8.53,25.73,11.57,18.23,9.66,5.47,7.81,6.24,9.49
b1000,10.11,10.0,20.86,18.41,13.55,18.67,12.09,18.41,11.35,11.95,13.02,8.8,24.73,3.24,38.33,10.12,23.09,17.1,4.57,3.44,4.98,26.07
b0525,10.6,8.68,31.25,18.01,7.0,28.58,0.84,17.81,8.42,6.45,5.24,7.78,14.01,9.79,12.93,17.61,11.41,8.4,12.13,15.45,9.33,3.95
b3349,4.03,10.71,5.83,8.15,16.52,2.54,3.41,7.67,13.28,13.37,5.79,8.59,16.73,13.53,7.05,9.08,15.86,17.49,10.5,26.24,22.76,10.22
b0492,9.12,5.01,8.59,7.75,13.97,1.12,14.58,9.74,11.65,4.42,2.52,15.01,6.95,9.73,19.98,31.14,8.36,6.45,4.11,8.69,6.06,6.7
b3053,48.46,38.62,31.02,14.41,22.05,10.55,36.78,37.85,23.86,6.29,18.46,17.41,3.22,25.34,31.43,43.6,20.59,15.04,16.05,11.51,30.08,23.12
b0437,14.46,2.22,5.78,4.96,2.99,10.06,6.44,9.58,8.24,9.7,9.0,3.19,7.2,11.09,5.32,7.39,7.2,16.9,7.99,23.11,12.82,14.07
b1482,38.58,7.14,7.14,3.92,8.7,4.75,6.21,9.14,14.15,3.79,4.79,2.95,1.92,7.83,17.22,36.77,6.5,20.17,9.74,13.03,31.21,2.01
b3064,12.58,7.55,4.25,10.68,6.48,0.54,9.78,4.83,5.26,4.84,6.82,18.22,26.04,13.86,29.79,9.26,33.61,9.48,10.16,19.68,15.67,5.26
b0918,5.97,3.12,8.64,6.82,7.95,10.6,8.13,6.11,9.72,6.18,8.54,2.97,8.09,18.03,5.23,1.79,2.43,3.81,5.43,8.07,4.11,3.94
b2742,5.57,5.32,2.03,15.8,8.34,11.98,10.36,9.24,8.86,3.6,14.11,1.2,25.14,14.65,18.63,17.8,9.75,5.07,5.6,9.14,5.28,4.01
b3631,,,,,,,,,,,,,,,,,,,,,,
b0948,34.47,6.38,17.34,18.3,11.39,20.78,16.89,45.13,6.7,7.37,12.78,6.43,35.4,12.18,40.03,9.22,8.88,11.56,22.33,24.38,17.6,23.44
b1860,7.31,16.23,1.43,6.14,8.85,20.85,9.81,6.53,6.65,15.3,6.73,6.26,10.36,33.25,10.04,15.44,12.06,15.43,6.26,19.14,12.18,8.7
b3397,5.68,6.61,8.58,1.99,7.47,3.69,6.68,14.98,2.88,5.04,4.24,4.62,41.04,18.03,30.31,51.71,4.88,5.64,6.14,9.28,1.96,2.54
b0416,5.02,4.62,9.18,3.49,4.82,2.81,9.0,6.22,7.47,3.47,7.18,3.66,4.07,5.36,16.74,21.35,12.04,10.05,5.74,6.89,4.4,2.56
b2567,18.57,5.55,8.64,13.18,5.26,6.66,3.98,14.57,3.13,3.2,13.62,11.86,10.44,18.74,10.16,11.69,3.05,6.98,3.37,10.73,7.52,12.87
b1120,3.77,1.43,7.27,5.91,6.79,5.64,6.83,12.55,6.33,5.16,14.91,4.47,13.65,4.83,5.84,3.84,5.07,5.54,5.45,3.98,6.43,2.19
b3202,6.47,5.31,1.44,4.73,3.41,12.92,2.58,1.69,4.49,6.04,8.6,4.31,6.52,47.65,15.42,24.18,5.15,5.76,4.79,11.27,2.09,9.04
b3649,9.26,1.2,5.57,5.65,10.44,14.82,6.55,4.11,9.76,13.39,13.05,6.47,8.87,7.89,6.8,6.77,4.71,3.55,6.67,3.38,7.47,5.51
b2101,,,,,,,,,,,,,,,,,,,,,,
b0080,10.04,6.19,16.02,9.42,6.24,13.29,7.63,13.88,4.61,8.02,10.01,5.36,15.96,6.05,24.16,3.0,7.95,9.02,14.67,9.27,14.98,0.97
b4147,2.47,5.62,4.2,6.93,12.93,7.13,5.42,3.63,5.15,5.41,1.97,2.53,13.1,10.35,11.99,16.54,6.22,5.68,10.49,5.66,10.63,5.57
b4203,16.06,5.06,5.72,6.41,2.47,7.1,7.35,10.02,6.3,3.0,8.13,10.74,4.39,1.75,4.52,7.91,5.07,4.76,5.07,3.12,7.06,3.75
b3986,14.12,6.11,6.89,1.93,6.35,12.23,5.39,10.01,3.88,1.38,6.71,6.73,8.61,7.23,9.39,11.96,0.95,6.8,4.73,9.77,9.38,5.79
b3637,5.64,3.1,7.97,9.25,16.47,32.18,6.6,36.56,10.77,25.26,11.79,3.42,1.11,5.64,39.97,9.58,12.77,19.69,12.38,17.12,10.28,8.81
b3302,12.4,1.59,18.41,15.16,10.07,3.86,11.04,13.31,12.47,0.83,2.29,4.86,9.0,8.05,1.94,19.15,17.77,4.94,15.77,5.76,14.55,8.61
b4371,12.13,4.88,8.3,7.93,5.73,6.8,5.6,16.65,8.93,3.48,6.64,8.55,20.66,21.16,12.77,9.72,15.04,4.72,6.46,4.62,1.47,3.89
b4049,21.06,10.22,20.91,9.42,9.95,4.45,3.43,18.71,5.27,2.85,11.01,12.53,12.95,5.32,6.05,19.69,10.06,0.89,7.94,11.47,5.66,3.01
b2171,15.36,6.07,0.6,4.75,3.37,5.61,2.48,7.5,1.45,6.11,4.09,5.3,18.02,7.66,5.88,7.19,8.21,2.88,18.84,15.32,10.98,2.97
b2581,13.54,2.35,4.27,6.12,4.78,4.16,6.84,8.46,4.02,2.92,4.29,2.38,5.32,12.34,3.75,0.25,8.34,8.61,5.5,7.81,7.51,2.71
b0173,,,,,,,,,,,,,,,,,,,,,,
b0596,23.85,31.94,8.54,14.19,8.09,22.66,7.36,5.72,9.18,58.8,14.07,15.54,30.35,8.9,21.06,18.46,9.84,18.35,14.37,3.72,38.83,7.4
b3974,13.19,5.3,2.63,1.65,8.41,4.21,1.75,5.98,15.29,7.69,8.56,15.1,15.04,22.14,5.52,47.97,12.47,9.2,8.3,18.1,2.34,11.21
b2315,4.71,3.21,4.06,0.63,4.42,3.46,3.64,9.23,1.99,6.01,3.4,7.0,95.17,32.73,49.05,17.24,2.26,3.82,6.68,6.14,4.23,2.7
b0369,13.12,4.48,6.15,12.65,3.97,6.62,5.99,5.93,4.79,1.34,0.8,3.0,9.12,9.72,14.84,6.88,19.65,12.49,10.29,6.05,6.41,7.53
b0827,2.43,5.15,20.97,17.57,6.34,3.49,7.34,8.66,4.34,9.55,8.67,1.47,4.68,21.11,9.56,15.74,7.78,3.35,10.82,8.23,4.34,6.19
b0052,11.44,4.57,4.18,3.65,2.07,6.58,10.85,3.21,1.97,7.64,13.83,5.1,24.95,41.54,5.28,6.49,12.85,10.48,13.29,15.04,16.93,5.17
b1277,13.1,3.05,7.1,9.61,3.49,6.81,4.35,13.52,8.5,8.8,11.54,17.79,22.49,18.61,18.43,14.34,12.26,7.66,4.32,2.74,13.16,10.89
b0415,7.64,1.57,3.85,7.22,4.44,7.1,6.16,11.64,2.97,7.03,7.85,5.59,8.5,9.37,15.19,24.67,8.45,3.31,5.89,0.78,11.19,3.61
b2927,17.85,6.39,7.38,9.41,4.39,7.59,7.71,22.97,21.88,1.84,9.05,9.62,3.66,29.36,15.04,4.41,13.65,7.34,11.44,12.1,24.89,12.29
b2168,20.71,18.09,23.97,17.67,12.11,28.52,10.86,15.31,12.64,14.6,20.55,17.65,35.67,15.22,30.04,97.58,25.07,12.92,12.91,19.07,20.09,9.35
b3416,20.67,20.19,21.54,12.73,12.73,6.54,12.51,12.89,6.43,5.88,10.33,11.19,14.86,13.27,46.14,48.89,37.86,14.2,2.21,23.48,31.56,7.6
b0331,5.93,44.93,26.49,22.2,24.63,44.33,22.0,25.52,24.08,15.26,10.97,4.45,1.62,15.55,5.47,45.51,10.42,20.38,44.67,5.66,45.02,20.83
b4239,23.74,42.73,17.58,18.73,11.01,26.11,4.7,12.22,35.91,15.39,32.57,24.37,57.22,57.98,31.73,40.38,72.38,48.62,43.48,32.71,19.1,19.31
b1725,4.12,2.79,23.63,10.36,5.02,4.41,14.93,3.54,10.95,23.71,10.58,7.12,4.27,10.68,24.64,22.67,14.91,25.53,8.26,20.38,28.07,16.69
b4268,,,,,,,,,,,,,,,,,,,,,,
b3752,9.94,13.81,2.28,16.72,17.64,20.44,16.76,30.53,13.56,7.61,3.12,6.95,17.42,28.68,21.35,15.25,20.3,22.4,9.25,5.11,11.92,6.45
b1623,12.04,5.95,4.24,18.32,4.25,9.35,19.89,2.07,14.19,1.03,3.62,9.64,46.89,18.94,9.81,24.01,11.46,0.87,3.12,8.12,5.79,2.37
b0469,2.48,5.13,9.46,9.22,8.47,4.3,3.43,9.22,5.37,7.78,5.38,3.66,27.02,22.52,20.03,20.92,21.25,16.05,7.58,9.43,11.27,5.7
b2518,11.49,6.86,5.75,7.92,3.68,5.62,6.79,8.61,6.38,7.51,8.06,8.97,9.69,10.88,4.56,12.3,4.77,9.36,3.59,7.42,8.32,8.64
b0171,19.99,12.92,37.26,10.22,14.39,32.4,25.54,16.56,7.69,13.8,20.43,32.76,33.87,18.05,1.74,16.7,26.37,18.26,14.35,19.72,14.25,26.81
b2024,17.45,1.51,6.03,10.92,0.98,9.37,7.35,4.6,9.5,2.38,2.56,7.47,28.21,14.25,27.89,5.74,18.78,6.36,11.2,2.34,6.86,6.4
b2023,14.77,3.34,4.29,4.89,4.29,3.45,0.59,10.94,9.09,9.54,3.89,4.47,25.69,21.46,4.37,3.24,8.49,8.39,1.76,7.12,4.19,3.66
b0386,12.92,16.63,8.02,1.74,11.43,13.17,14.83,2.77,12.1,6.82,2.29,4.88,35.83,48.82,7.27,71.38,2.03,7.55,11.14,2.71,11.47,4.36
b2797,34.57,12.84,7.21,9.58,17.1,4.24,12.63,55.35,8.62,6.92,54.31,40.71,64.76,20.98,17.1,25.1,53.76,19.7,76.68,41.22,19.37,36.91
b2965,1.84,5.25,4.11,9.86,4.79,13.66,0.83,12.21,5.98,5.5,9.35,7.83,13.16,36.74,15.59,24.9,8.98,17.59,9.91,4.37,10.98,0.76
b2319,8.8,13.81,8.41,21.21,18.74,18.27,5.25,26.14,4.67,8.72,11.63,7.43,12.97,5.71,20.16,8.22,2.24,6.66,4.62,2.46,4.1,8.06
