,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.58_S,GLC_BATCH_mu=0.6_H,GLC+AA_CHEM_mu=0.63_P,GLC@pH6_BATCH_mu=0.63_S,GLC+AA_CHEM_mu=0.65_P,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S
b0723,1128.0384,1154.5416,5364.836511071529,1494.8940362957658,2939.8,4657.4795,5456.7448,7437.775607762,4296.69,7337.1596950976,7675.0763167659,7093.3269403637,9147.1575817538,8072.5703460063005,3034.8177000000005,7314.068999999998,7635.9820535274,4826.58,10149.5066366294,7008.312,7245.1853130312,6230.2750000000015,4098.72,7365.447646831801,10072.1385920606,5266.982099999998,5382.125099999998,11001.1401151672,7215.6313903111995,5903.6853,4115.6412,5306.8356,2475.72,8560.485,6654.522135787,6415.4906162621,11366.0246853485,10883.4605466496,2385.824,4453.918,5320.075637166129,2957.2352,4715.56790989379,10864.792109204,2907.3513,10653.6768704845,4989.4056,3579.6654,2655.3,9592.5472074344,9434.8383616986,8952.925217419599,6922.9778479116,6016.7433,12047.6736,14027.6584,17989.609,13569.976800000002
b0724,1212.4566,1144.1088000000002,3680.3304876506236,1000.3438752795148,3051.38,3326.9,3716.0759999999996,6197.304257896801,4149.82,6535.654106679301,7017.2873805939,6369.7028531628,7510.5479655264,7224.3758514345,3414.9372000000008,8172.451999999998,6727.3019759982,4423.42,8910.7153363362,5061.9479999999985,6169.0982392491005,6530.8125,4554.25,6283.170194968199,8164.2380830044995,5540.7179000000015,7565.9274,8746.8610863982,6011.700325341601,6060.7281,4398.438,6780.2592,2310.75,5317.785,5286.692689081,5438.0846120643,9041.8955889903,8393.4132797687,2511.0820000000003,4160.66,4117.087827513784,3523.6732,2651.89017863592,8716.2921707675,3246.6567,8231.0561366741,6114.901199999998,2549.3006,3524.265000000001,7235.417392875501,7206.9297842562,6658.8244378604,5520.0648138137,6885.5124,11802.9312,19691.8532,19426.54,16741.31
b0726,2017.953,1662.5898,2153.695239603368,875.8823239272989,2043.67,2041.8729999999998,2415.7952,3622.6378253390003,2905.53,3695.2700310415003,3842.0732294565,3604.6537537833,4240.5480454478,3922.7953104783,1809.7218000000007,4824.0775,3699.9280913232,3180.82,4978.3030102115,3380.0640000000003,3565.8913162981,5245.0,3182.86,3565.2099758437,5301.8298146433,3346.3103,4409.4264,5535.233088851,3803.2621916275,4356.6932,3633.0888,3988.6572,2125.38,4914.135,3649.9682865152004,3458.2102438897996,6191.938280246601,6021.4635903797,2493.568,4486.8319999999985,2734.171202764791,2422.3638,3189.253788392114,6149.4964325454,3527.4267,5812.1866583972,5121.2588,2907.8691,2033.625,5653.9379779914,5577.3443212008,5277.177224663,4796.9141427981,6651.2883,8576.121599999999,7113.532800000001,13080.470999999998,12231.740200000002
b0727,5644.128600000001,6387.9354,4677.434131237312,1967.2272272654025,3550.07,3644.3425,4240.7352,7876.4655890999,4651.49,8378.3055796754,8355.872967046,8249.2788816606,9232.7109449086,8630.6199385287,3833.9400000000014,11835.776999999998,8443.8926916899,5315.94,10653.530578363001,6095.388000000001,8055.846101287199,12434.425,4969.61,8238.5519371636,11274.267047291201,8807.5643,9283.5624,11967.7332220717,8822.9493281213,9899.3818,7336.3092000000015,8572.8984,4079.88,8231.166000000001,8620.483640730201,8402.066875655799,12923.1339221101,13250.4378700241,7656.053999999999,10144.806,4813.7087306140165,7457.8684,6527.5614774783835,13684.669435828899,8704.840199999999,12906.3176365145,9317.7248,9108.0869,7173.81,12533.467817214,12724.109569279799,12154.4722105751,11030.1546197306,18607.7799,26084.5248,28571.664000000004,33464.75,39778.2638
b0728,3709.071,4020.597,6847.474683823552,1182.067102063699,7535.47,8980.3785,10842.8216,24785.0885504243,10495.02,26701.2294781333,28651.672085346298,27669.3309454852,32296.0230718862,26791.8055335989,8586.1275,22594.418,25659.52759653,10577.96,36081.1704212365,15428.855999999998,23341.141842514302,23039.425000000007,9832.81,23005.9299342704,37171.1503249806,17922.163800000002,21924.066000000006,38288.6545839635,21659.1923185196,19751.263,15407.898,20128.2972,5845.76,20909.5695,19107.8852445638,19286.41436407,39379.2992594314,39930.864913047,6499.388000000001,16396.534,8681.408217603415,8822.9144,6935.35563141607,37858.443099866,7527.6936,36495.8221600906,17130.2452,8868.0628,10602.615,32635.8449343996,30747.2635317495,27318.105224973,20910.0380931028,23499.617400000006,31026.9696,40213.538000000015,34088.4005,36272.75840000001
b0729,5921.6508,5671.409400000001,9039.265997836084,1713.0341865774094,6423.06,8483.7945,10765.56,18226.4840589944,10069.25,19215.7105910525,20852.964970033,19702.076373719,23816.6930374037,19408.498706051298,9147.1992,29175.5345,18135.4887951701,9763.46,26138.3301812025,15709.608,16783.325657113,24318.45,8825.64,16339.643942623501,25525.7213334015,18874.867,20977.489800000007,27025.5510448873,15240.34899497,20639.1548,16801.6332,18992.1336,5562.83,20882.61,13752.233916553601,13464.8580643894,29025.9172647438,28092.5607565475,10042.802,16106.313999999997,10819.249684135326,9832.065799999997,8972.35132446917,27586.2232686627,10110.5718,25792.7488707323,17753.413999999993,10556.4116,10148.175,22906.923465894102,21424.7813490979,19668.8821856459,15037.7053004983,23066.4984,40191.5904,45952.6324,40878.681000000004,37989.6828
b0730,6.3180000000000005,15.5682,,,,17.176,1.664,,,,,,,,11.988,34.488499999999995,,,,28.5,,33.425,,,,24.384,22.1622,,,45.56180000000001,31.5216,,,29.713500000000003,,,,,44.212,,,76.041,,,36.5883,,,65.30669999999999,,,,,,,,,6.514499999999999,
b0732,1.0044,0.81,,,,2.147,14.788800000000002,,,,,,,,0.8880000000000001,1.127,,,,39.54,,86.775,,,,4.6355,2.8638000000000003,,,3.4191,0.5676,,,3.2805000000000004,,,,,0.37799999999999995,,,2.8684,,,0.4998,,,1.7134999999999998,,,,,,,,,4.5795,
b0733,677.1600000000002,576.2826000000001,717.536857493628,429.922691742302,1228.13,984.3425,918.06,1121.3045604896001,1280.59,1124.9511364672,1267.1717340532,1127.0339903742,1216.7511786122,1056.5116400138002,439.7043000000001,492.08499999999987,923.6709080434,1134.75,997.5298424896,926.184,949.2976199039,422.675,807.39,845.4880282967,908.7092754560001,507.49199999999996,566.4648,951.2349970352001,862.9223273809,868.1632000000002,684.1824000000001,620.5187999999998,692.69,1007.9639999999999,703.4316933573,770.1195316045,899.3905407244999,827.2707611812,405.524,924.966,734.3869888788989,489.0764,1045.469304829815,737.7436543196001,1008.9639,696.0796357392,1012.5716,1155.0182,286.14,712.1420815936999,779.6654219688,696.0652295309,781.388284718,609.3402,1266.2208,1132.928,3007.4845,1668.8336000000004
b0734,78.86160000000002,68.4612,474.71959791169996,221.42794813037295,668.82,194.4555,160.20159999999996,355.8451445865,697.5,442.9032912011,461.0889033045,,,,62.0823,60.29449999999999,329.5945218912,557.57,,158.352,,100.8,397.86,282.8588467762,53.2522700161,69.16420000000001,63.33900000000001,,246.60767265799998,114.8346,88.92840000000002,58.7664,321.36,186.7995,233.31637860669997,279.0237277482,98.19457105549999,,52.08,90.748,380.07488066222413,60.57719999999999,754.7111357911549,234.0151816034,109.5297,,116.2096,154.1554,30.315,223.74966218650002,,244.1888591902,,61.1889,97.0368,238.75440000000003,422.9695,307.4018
b0736,47.2716,66.9384,136.62969219236402,86.705101840906,,43.035,61.6512,,,,,,,,69.6525,69.83949999999999,,,,112.2,,76.05000000000003,,,,170.9293,131.2833,,,202.6308,130.6536,,,121.446,,,,,157.96200000000002,,157.611949220172,274.415,392.98674455765996,,241.6974,,,252.704,118.185,,,,,119.5458,,34.513600000000004,519.8485,62.9802
b0737,332.08380000000005,250.7112,262.06314881872004,233.926349861816,136.38,153.4345,186.9608,155.7699599014,171.63,174.4608124625,153.5090601975,234.8424969944,163.5312104114,160.1774088429,152.41410000000005,170.99349999999995,173.6663377912,150.32,188.8141962725,263.892,168.35085224780002,264.525,148.98,182.8284513327,181.66087763119998,252.9078,212.87580000000003,179.384579081,179.50860034299998,262.48470000000003,318.1860000000001,250.4964,185.07,375.5025,193.92002263810002,201.1969283832,176.26887602169998,,343.644,283.15,507.92764882520106,380.0346,693.3150685395151,216.70986379919998,399.9429,184.4631039438,340.5776,579.2524,151.575,193.6267766414,218.96192605669998,225.43103998549998,223.0543376727,551.8506,594.5472,324.06320000000005,813.6460000000001,563.2684
b0738,179.23680000000004,197.5752,402.558248280896,194.57818045272998,,40.0425,49.3584,,,,,,,,73.42650000000002,66.0675,,,,72.57600000000001,,139.625,,,,120.3071,127.29720000000002,,,175.91989999999996,139.9068,136.8312,,128.628,,,,,212.73,212.31,1402.279293257211,246.8244,2846.7301214724653,,315.2415,,264.476,417.9003,175.935,,,,,436.2873,162.79680000000005,270.2364,464.5505,433.6892
b0739,38.6856,30.7638,72.58308623188401,81.675050778565,,16.8435,15.5376,,,88.9343191883,,,,,27.150600000000004,29.026,115.8941611692,,,35.004,,29.7125,,,,49.6062,29.1024,,111.3392310704,71.04129999999998,30.518400000000003,31.178400000000003,,36.4095,231.2448927969,118.9505020775,,124.55094655149999,51.43600000000001,57.526,131.91527998979402,94.3874,298.424890357535,,79.1154,,56.10679999999999,58.88480000000001,140.28,,128.64288731969998,,,299.7141000000001,127.584,225.674,186.0395,278.4732
b0740,2260.9854000000005,1982.6532,1965.8292116760722,1595.1168996428949,2404.6,743.7075,954.4496,1226.0673219369999,2363.7,1127.635530132,1202.7542354847,1364.3480116727999,1157.6622594064,1186.0397180444,1020.312,999.7985,1180.8698895704,2297.28,1085.8977521164,1377.1560000000004,1184.0026004729,1527.5125,2101.19,1224.3364196483,1180.0727080912,1442.2882000000004,1350.3204,1134.8069747422999,1245.4174118471,1977.3402,1670.1828,1371.0312,2508.83,1801.2375000000004,1233.6787721719,1243.6370066977001,1110.4028116596,1065.2210501866,2900.422,2065.518,1969.937098019529,2399.6722,4894.58917175659,1086.6766239702001,4029.6081,1130.4037321199,2078.1420000000007,3590.5573,1713.2400000000002,1627.2942909083,1133.1338085522,1123.7269218005001,957.9939150185,2559.1722,4124.4288,1822.2036,3018.987,2279.9094
b0741,26857.785600000007,24612.028200000004,11994.954748465107,7314.229693368092,92.3,5594.094,9126.9256,14214.862580601899,95.16,13919.070283880901,10463.6739264388,11605.6662948468,11581.2181042597,14694.8672492424,9588.624,14238.874499999998,17655.109601846998,101.71,13989.8377489046,16847.196,19060.9335176477,15289.05,102.3,19890.4422820445,16197.8260805092,18252.6432,21096.8664,16357.474638213502,21162.53195521,28580.139000000006,21360.3192,18517.554,107.32,25381.7685,20510.296116428202,20966.6984399848,18621.7604481843,17702.5829279877,29128.82,32231.696,11926.05250213715,25892.6208,19278.38100487189,20406.9135771373,32467.5666,20276.2144439304,26050.575200000007,25731.912600000003,32039.385,20656.7347040918,21471.700628451003,21316.2328353258,20226.1812197885,45787.2096,79085.3568,48899.2628,45975.987,60965.9236
b0742,638.9442000000001,1305.3474,618.5153102380958,574.251823577035,708.09,466.545,564.7512,642.1531662284,673.85,611.1991799394999,691.7893756228999,777.494129991,722.0286150136,646.5040959332,341.5248,927.337,751.4359531475,710.75,582.925451651,659.94,778.7530678817999,1146.6374999999996,644.67,833.0584869600999,734.3650822541999,1100.3661,478.6674,745.4727137903999,882.0806308834,1016.5338,1318.4028,424.9344,711.91,947.2410000000001,989.1601433264,962.9637093365,790.0367243026,804.8232904075,932.33,434.12599999999986,765.2299248585539,1966.203,1930.009356241535,897.0566209008,737.1168,907.4313336827,752.7428,919.33,2668.89,1361.6443215631,891.564232561,1006.5490855480999,647.6108190226,4265.4699,3850.9824,4407.5224,3113.2215,5526.8014
b0750,12.668400000000002,13.2192,44.197599143831994,12.264487611620998,188.73,98.6005,158.5168,124.8816187847,231.03,124.1854506377,140.12413053129998,,196.74685633110002,159.4657176375,107.31480000000002,254.15,148.4601955112,209.14,215.8892596283,289.332,131.0433456765,287.5875,192.23,131.4340563632,254.71815345209998,235.6231,228.2268,,154.3005893485,306.3697,300.2736,318.2124,212.86,424.37250000000006,166.4624371308,115.30614282260001,388.18460924589994,,322.168,294.224,246.99310557929704,522.4179999999999,643.9762938240899,323.1679038171,537.0204,,403.1076,822.8078,526.2,362.0522468828,273.4463425681,348.6303229846,254.5552818165,678.5826,2199.9936,71.65599999999998,139.7285,74.49060000000001
b0751,152.847,118.58400000000002,,,,53.1905,63.492,,,,,,,,39.83790000000001,34.339,,,,60.803999999999995,,53.75,,,,34.7472,39.3966,,,63.1944,46.728,61.32720000000001,,82.647,,,,,69.66399999999999,54.992,,85.11479999999997,,,92.2866,,77.1228,141.9672,1.905,,,,,12.7971,125.3568,0.0636,58.996,0.0654
b0753,1448.4582,2162.8296,730.0075461104201,1978.317111226412,3109.93,307.9615,309.4104,,,,,,,,463.0365,346.3455,,,,279.91200000000003,,237.65,,,,366.5474,353.6406,,,443.25160000000005,313.8696,410.9556,,244.02599999999998,,,,,1282.82,578.34,503.44646195985,480.00259999999986,650.0962985904099,,1697.3355,,266.6072,557.856,47.37,,,,,11.6997,855.1872,75.5356,1389.76,75.2536
b0754,7400.111400000002,7291.2798,2192.9205633122524,2208.780763009514,1326.63,1583.099,2115.2248,2540.3813241068,1881.28,2554.7258764502,1552.3563564862,1674.3796858738,1797.3533110203,2907.5531784954997,3526.9251,3166.6975,3466.8997702171996,2142.06,2093.1343458394,3194.34,3763.4244239422997,3281.3625,3132.05,4451.5160480874,2253.9321637493,3563.8994,4670.8965,2478.8041152516003,4978.137747918,5448.552,4772.4864,4409.0376,3710.33,6610.572000000001,5830.6778314439,6017.2506318361,2883.6982704934003,3092.0020592021,13994.288,10600.268,2632.164009431538,9483.2002,10298.29021508386,3221.3027545924,15837.0597,3572.5659619164003,10033.7784,9574.5165,9775.59,3581.9772487646,3592.5703283869,3649.9697934259,3857.8246068992,10412.5737,6372.48,2764.2892,3703.289,1889.9292000000007
b0755,22401.1656,24183.4086,5569.191237355429,4219.763600542327,10478.71,7594.6230000000005,8608.5272,8581.320754906601,9191.32,8853.1504194171,9062.773971072,9247.1107360026,8574.3198336191,8299.3559842772,10062.6051,11937.598,7261.131809216,7016.44,7386.904012992801,10463.016,6734.06107589,11645.3,6712.77,6221.0720497483,6429.9005931007,13495.4772,12289.236600000002,6363.697213165699,5841.8724760632995,16312.0938,14381.3868,13641.408000000001,6202.6,12112.74,5531.3806777053005,5295.3915262197,5567.1892745564,5302.7836664361,29312.164,20756.582,5780.6052339028065,17119.5626,9734.36173373037,4797.6775423813,34950.72,4843.3182850867,16298.7368,24586.0877,16359.81,4559.5390761458,4588.8089279792,4283.3593900192,4174.5692400132,21819.0555,29802.7008,28127.5452,38253.875,31140.319
b0756,1321.92,1267.9740000000004,892.6106047177801,446.8348790721829,863.07,795.2735,1040.6656,782.3076591902001,835.57,775.3909701696001,658.9970512067,742.8565806450999,622.9261679085,883.3290671497999,3438.9576,1299.6149999999998,736.2529460602001,754.05,730.8515957313,1331.976,750.5548765524001,1334.9125,778.55,724.6742679681,669.2144072078,1578.8767,1632.1854,684.6094560906,713.3841614724,1866.0819,1925.5104,1832.1072,720.78,1575.9900000000002,606.7639118874,721.2738712339999,690.6210789144001,643.8634345561001,2515.24,1896.65,1069.487778396711,1760.9419999999998,1909.05721689266,614.3707810774,2080.1676,714.3300049917999,1892.7128,3999.3984,1280.73,606.2660324753,563.1792468663,566.43763333,582.8715386029,1894.0593,4088.6784,4256.3876,5081.2024999999985,4501.765400000001
b0757,444.9816,357.3234,801.0396075425241,443.9099115093069,324.42,419.7005,573.1752,438.98563924660004,271.74,444.74365905699995,454.61838462730003,545.9431858498,483.57414282269997,444.4981837208,5303.768700000001,598.184,381.7407225349,225.48,482.7361268672,706.3560000000001,362.9420197829,646.1125,167.52,307.9541384524,427.4321059021,774.9286,919.5378,609.690207946,343.619871366,1041.1225,780.5292,1025.5212,117.67,713.9475000000001,218.89511784099997,287.2842326576,441.2102055918,485.8484137519,680.372,604.408,1030.656323018082,523.98,1224.87835988975,395.35564611949997,408.2631,545.2306037766,738.7864,761.3751,634.6800000000002,412.9862538714,389.2814774641,293.7438436741,219.85493188810003,974.6859,2601.7344,3860.6896,3840.0935,3692.200600000001
b0758,90.0558,112.78440000000002,,,,72.70349999999998,94.8688,62.7348779155,,64.4238234628,48.868194761000005,,52.297789948100004,60.2794691015,878.0544,117.346,55.561467141499996,,52.46910435310001,137.56799999999998,72.13172078560001,214.825,,50.9710766042,56.458867465,152.0317,149.2272,,46.6972666303,196.2249,194.0532,181.5132,,147.5685,39.1732314839,53.6930127633,53.181151246599995,77.05439127609999,184.38,190.428,,213.9088,,66.3235828057,168.5355,75.29154376,162.4152,250.8415,40.86,52.2102634118,60.215297317799994,51.040174234,411.1482824019,130.7853,652.6464,423.3216000000001,1036.1495,574.321
b0759,525.8196,468.13140000000016,554.974338281744,325.570677532911,639.89,428.184,570.6064,569.5462634516,616.64,612.2446292098,660.3798602841,662.3318254579,651.4316265247,599.52094896,5869.025100000002,605.0609999999998,575.5520391393,481.19,807.5263800094999,771.3480000000001,493.9713848841,811.6875,449.35,491.0699725593,593.4463872268,803.0337,787.3257000000001,650.2435924158999,445.0722905147,1012.4989999999999,800.0652,987.5052,390.84,738.5580000000001,432.2478592717,472.5705753863,585.3631157375,735.6464948633001,860.916,732.8580000000001,598.7298186946019,881.7348000000002,998.2491986412599,545.7152701753,565.068,721.5762641213,928.8776,653.1713,793.665,566.202588581,474.23158103260005,529.1110643636,549.2915025755,1172.3772,2757.3504,3153.7332,3767.7459999999996,2964.473
b0760,61.6248,142.25220000000004,187.798400620748,125.020644926019,48.9,128.67749999999998,197.8288,71.81308852640001,61.06,83.5762411908,40.337480061,,,,138.39480000000003,139.31099999999998,69.8821625262,59.64,,252.6,67.8920244218,160.6,55.61,60.711324239,37.063997568000005,160.8328,204.7746,,54.8912025762,189.7011,255.9216,238.8936,61.49,325.512,54.198402198100005,59.6456008596,31.1358115902,,267.47,216.846,294.8479128876121,330.3346,757.46190771696,36.7239519289,283.9746,,368.6236,238.9513,283.185,40.2805761171,19.7842240657,28.4585096575,,379.2225,98.2272,54.80200000000001,114.638,114.7116
b0761,101.9628,79.38000000000002,219.946689689836,141.11363572647798,,67.5925,75.92,,,,,,,,82.76160000000002,102.59149999999998,,,,92.352,,125.8,,,,122.1232,80.1348,,,158.1039,125.4264,88.9416,,108.78299999999999,,,,,132.24399999999997,148.918,210.25811856673505,191.6432,439.72799299274004,,145.0008,,144.3888,150.2963,255.12,,,,,388.2141,377.9328,633.8376000000002,666.6289999999999,690.4278
b0763,592.6446,762.8418,484.496673917368,215.35510533293495,880.97,7671.116999999998,9580.9688,264.6008011398,983.55,199.05340530349997,351.7883609645,,,142.58337904709998,900.6762,695.5889999999998,,1155.18,202.9272894577,10921.692,209.9678915791,1008.0,904.53,115.5709699566,,1309.6748,1022.8797,,146.5656515733,932.5366,1313.4264,1108.7076,636.82,1795.0140000000006,117.8504864801,112.25563381280001,227.5390344729,,926.4780000000001,869.5120000000002,619.9561426627291,1074.3294,729.10544298307,225.49996816360002,1291.836,,1244.6652,1241.7362,956.625,,,107.5286391942,,1418.4957,2355.5136,2956.7004,2275.1515,2780.2412
b0765,5.2812,2.3328,16.832314943588006,3.8822972901310004,77.15,265.145,274.22720000000004,32.9371271992,,,60.7035220642,,,,7.703400000000001,7.406000000000001,37.1808466544,40.03,,259.884,56.1046671894,19.1125,,38.1249526059,39.5647700599,8.826500000000003,7.185300000000002,,56.7780058339,12.3795,10.4016,12.1572,,45.225,,16.7204934907,70.7786190568,54.7970834454,1.9040000000000001,7.139999999999999,19.359613064277,9.1306,20.25283391637,51.3118529221,5.0127,,7.488799999999999,11.4283,34.410000000000004,24.6758418828,,19.677064341199998,,125.1921,14.1312,144.41440000000003,26.015,239.64740000000003
b0766,9.072000000000001,1.215,9.583697862020001,0.236200162654,,13.357000000000001,36.27520000000001,86.0253553135,,92.53501278360001,103.6770225436,,128.8392468991,95.4336028735,87.6456,166.382,123.2414637413,,155.2035389589,99.024,119.2138864081,273.275,,115.5647030082,159.0989094606,268.9987,393.8886,197.48244854979998,115.37497109739999,237.58160000000004,334.4352,289.4496000000001,,250.3845,129.2759586067,116.93546265959999,164.7361259081,157.9951299821,379.022,425.726,154.76129248630502,500.195,286.28247399706004,131.1029921135,323.3118,,489.214,385.0309,498.42,176.45505896490002,147.73244546950002,163.4922521812,,793.5795,1226.3232,1012.2364,1274.1975,1266.4274
b0767,6697.4688,6643.150200000001,1466.631685895712,1386.0035112744458,2739.36,3110.7845,3629.392,1192.6388421635002,1874.13,1132.2742434942,1270.1577304303999,1424.0584890420998,1064.211561417,968.5605730304,5168.8815,3362.0825,904.1450874035,1697.23,838.8022135385,3658.0559999999996,855.728611649,2219.15,1570.49,796.5975453847,772.1735930089,3925.0366,3167.1306,670.6417513297,751.3513657376,2874.6902,4420.7064,3478.4112,1371.49,4404.415500000001,624.6941506485,651.9472066569,576.9787492869,520.2233984392,8006.6140000000005,4219.642,1647.8367622329629,2558.5986,2970.525643094195,455.57278449160003,9543.9897,451.3549423802,3682.1512,5249.2998,1163.835,405.44784030610003,357.52463842120005,378.8411242958,268.98564503259996,1339.8723,5462.496,2328.3536,4735.9124999999985,2134.7868000000008
b0772,1176.2982000000004,1253.7666,1003.516733541056,818.842719231767,71.64,523.8775,677.716,378.0319083774,76.46,376.94119677699996,385.7294326401,462.0769066939,435.26357022260004,388.1577760574,774.9354000000002,916.3199999999997,365.0005700874,77.2,402.9690970075,859.3919999999998,379.080163665,1700.3375,69.34,404.1494524282,432.3061164837,1360.7542,1430.61,385.8230770398,426.3473505301,1376.3908,1451.5776,1224.7356000000002,78.35,1237.086,419.2889866557,426.1989805915,460.15656757089994,396.4454184576,1942.654,1503.7539999999995,1083.5410975875782,1955.5529999999999,2526.514627634935,429.7990839635,2626.9782,371.38552847290003,1857.2816,3747.5586,1740.12,396.6104963534,366.4492707921,442.4190552596,452.52126036379997,2590.8906,2756.3520000000003,2892.3372,3324.7815,3430.9276
b0773,840.5694000000002,814.0176000000001,425.314611952668,451.69061663755286,502.82,219.906,256.0688,,317.4,,,,,,456.69840000000005,282.532,,237.33,,276.492,,326.6625,231.37,,,344.20809999999994,414.7866,,,462.9278,365.85120000000006,430.8348,133.63,260.01,,,,,906.262,256.242,564.2436372994772,448.6206,848.592169001455,,824.817,,407.5032,559.6589,70.77,,,,,132.39600000000002,582.5279999999998,141.1708,386.398,125.9822
b0774,190.0584,219.2994,236.693367983256,150.784490461227,,39.23499999999999,51.94800000000001,,,,,,,,96.42570000000002,143.635,32.7730215633,,,85.08,,103.775,,39.551578806900004,51.678467197399996,111.4044,136.5207,,38.6953731332,142.82930000000005,119.52600000000001,122.1,,150.849,48.7252808337,,,,435.596,201.15200000000002,356.015946508284,196.8262,549.1860427093,37.4526751969,203.8596,,147.0676,263.89390000000003,177.855,41.0080039717,,,,183.7968,384.0192,46.8732,71.35849999999998,51.3608
b0775,67.9428,19.1484,60.787462594072,23.311203682806,,30.2765,51.396800000000006,,,44.65104472189999,,,,,119.0586,107.272,64.3711056652,,,73.71600000000001,57.208975313100005,91.4,,76.6546395276,52.408966783000004,224.0407,286.8702,,90.9974445051,183.4655,245.9028,164.5644,,200.88,112.4699356042,,,,113.26,277.228,243.61056590178902,519.7909999999998,634.24279297941,96.4762194706,67.7229,,358.2044,282.504,519.5699999999998,187.5781297632,,135.0495209357,147.6961545974,1314.8445000000004,1481.0688,235.74400000000003,202.1215,367.3518
b0776,62.69400000000001,80.83800000000002,32.681638247740004,21.521458695141,,33.611000000000004,47.6112,,,,,,,,73.14900000000002,112.74600000000001,,,,68.43599999999999,,165.875,,,,100.0379,97.2015,,,106.5816,110.7876,118.1004,,97.092,,,,,176.778,179.97,49.67343223882801,102.4104,131.96825106264,,109.8825,,165.0496,338.1257,48.17999999999999,,,,,49.383,264.4032,10.388000000000002,210.8075,6.976000000000001
b0777,1.5714,0.6966,,,,0.133,0.6032,,,,,,,,3.5964000000000005,4.186,,,,5.736000000000001,,12.8375,,,,1.1684,13.3515,,,17.554000000000002,19.404,,,1.296,,,,,0.056,,,8.7614,,,26.901,,,1.9966,,,,,,,,,2.5155,
b0778,359.9802,411.96600000000007,729.659712567552,769.452723296962,78.52,112.613,177.1432,114.2060743609,,131.2699428352,93.95219375219999,,,103.93689532360001,186.1692,362.2615,115.3231369324,111.11,,274.368,152.5313532609,261.5,97.49,122.6702063092,113.3810594918,324.5866000000001,212.1534,110.2037836758,120.6088014103,279.2396,266.0196,211.5696,125.35,411.70950000000005,134.63183258549998,137.9682113453,125.21464746379999,,864.5699999999998,389.98400000000004,888.9629776327591,625.1833999999999,2030.0343963784799,127.7161367138,627.543,111.8578041754,313.168,903.4019,428.235,129.3508029859,,125.05691978809999,,305.6436,882.7968,82.65880000000001,273.523,36.9074
b0779,234.5598,216.027,118.00265867891198,101.46101748124501,112.96,148.30450000000005,156.0208,142.8070951136,95.71,136.419108665,136.89235386040002,,103.5131174704,,166.2669,130.31799999999998,127.49839844739999,78.84,,161.26799999999997,87.6472635376,140.05,66.25,97.64398379010001,91.2639847193,155.1432,172.215,,,171.19080000000002,186.68760000000003,201.53760000000003,62.38,181.62900000000002,87.39556333700001,96.6871136659,,,226.296,257.978,173.02056820392303,190.3368,370.285242837665,60.6719194124,254.8098,,175.3948,284.4410000000001,62.34,66.49208992310001,70.0644565261,55.646831487700005,,64.9944,244.9152,106.12720000000002,339.7215,121.2298
b0780,0.3240000000000001,1.1016,,,,1.311,2.1216,,,,,,,,4.44,1.909,,,,3.3,,6.7375,,,,4.114800000000002,0.4386000000000001,,,4.9518,5.0556,2.9568000000000003,,4.9275,,,,,4.144,4.816,,5.651599999999998,,,6.615,,0.0148,7.6139,5.8950000000000005,,,,,7.9473,7.0272,9.752,15.6735,10.5512
