,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.58_S,GLC_BATCH_mu=0.6_H,GLC+AA_CHEM_mu=0.63_P,GLC@pH6_BATCH_mu=0.63_S,GLC+AA_CHEM_mu=0.65_P,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S
b0026,1501.7724,1554.2279999999998,1470.7012741678561,986.65604358754,1498.83,839.515,1116.7624,1788.0091104938,1641.44,1802.4986748029,1546.6611149219,1597.7543975245,1687.0228468079001,1894.5511696029,1505.9592000000002,1550.3034999999998,1868.4509480762,1572.23,1671.7722895031,1635.744,1799.8118833597,2400.875,1465.79,1762.2184052409,1597.843650065,2104.5551,2023.494,1674.9895050881,1819.7602416516,2123.8768,2394.5724,2145.3432000000007,1336.9,2223.315,1722.3992688398,1773.5784817144,1586.0354705478,1555.1546459101,2920.61,3435.0959999999995,1864.828320105657,3076.0324,3747.8985294082104,1443.3335651771,2975.3682,1432.0460409201,2991.7459999999996,4394.8742,2969.25,1382.4872911373002,1410.5766289460998,1388.4662468285999,1387.5932537694,3964.1982,4511.52,5105.0024,6205.630999999999,5807.672600000001
b0028,371.2878,378.4158000000001,266.988825630552,105.40416866380998,929.88,532.2565,893.7032,464.42884357099996,1411.51,495.9032064206,469.09789965790003,425.7941161921,414.9237096643,462.20307820470003,1377.6099,1760.9834999999996,529.4187113939,1493.4,506.57590041160006,1114.032,523.5970683251,1469.1625,1345.64,529.9645038153,491.35650018900003,1939.5567,1567.6854,476.41562725510005,495.3661854329,1848.9864,1787.5968,2550.2532,1253.82,1379.9160000000002,501.6990322677,462.8144653369,528.1854237872,513.2564183243001,1626.6039999999996,1534.4560000000001,412.8755289789809,1781.9579999999999,661.8076282675701,538.2698111387999,1401.3363,494.1479147401,2589.0824,1784.7071,685.455,563.6042344751,,504.0393893811,365.91669031059996,788.6589,5141.2416,1587.6892,5987.75,1663.34
b0029,18.2736,109.6092,124.46697204791201,24.31131596191,172.89,58.52,88.06720000000001,154.0065352223,192.53,,,,,,102.3309,136.78099999999998,,192.8,,147.85199999999998,,224.7875,188.8,144.8634741647,,198.5264,173.5824,,131.4455339532,176.2212,273.108,189.75,185.66,193.6035,129.54705392440002,144.4570828237,158.7515889616,167.2709890139,145.73999999999995,214.816,211.66876267079704,318.6622,432.9920611776549,,205.9176,141.7224470944,280.756,223.0083,330.33,154.5990289053,,154.8563177238,,724.2132,773.3760000000001,1250.1640000000002,924.1345,1617.2766
b0030,76.49640000000002,79.6068,363.10022336185204,9.342618532521,250.03,268.7645,340.9120000000001,,260.74,,56.622243727299995,,,72.1593909684,152.41410000000005,243.156,,187.49,,457.8,,318.1500000000001,99.89,,,464.9597,333.1554,,,201.2553,280.19640000000004,415.2588,33.7,393.903,,,71.77514976239999,,88.87199999999999,86.84200000000001,232.86537168961803,60.12280000000001,13.428999929849999,,41.7039,,127.132,76.9436,69.16499999999999,26.5827849912,,,,203.3907,1410.3167999999996,2298.2284,2616.3135,1225.1818
b0031,3944.9592,4000.3794,372.746665620392,257.568683676703,593.06,809.2099999999998,1015.664,573.5646113281,672.2,488.0892592046,275.6012698765,386.7031430068,271.5858804561,493.14063419620004,1185.9795,1862.333,512.8438488789,659.28,282.08553743650003,1305.792,556.6733476855001,2067.7875,642.96,612.017107266,316.1572769967,1553.7688,1438.737,330.9562843766,732.0547619948,2164.906,2313.96,2045.1552,1095.66,1979.775,897.4164927285001,849.996202582,304.4517377606,274.4411733453,3731.966,2848.4120000000003,256.126958319894,4376.1276,865.5252667725148,323.5631233877,5794.4313,316.92916256029997,3377.4784,6074.3426,4663.335,330.01726152419997,342.9738964072,339.2270508832,378.5743359021,9960.4803,3319.3536,3580.1288000000004,5429.309,4051.0722
b0032,5028.5286000000015,4253.0022,2376.314515779508,2398.534061596963,971.9,1424.411,1932.1224,1058.4980934703,1113.37,1093.1889988783,1023.2445593076,972.2943097862,1264.0539422438,1302.7925877011999,3827.9682,3405.472,1552.6822683993,1490.13,1517.0887192419,3217.92,1725.5782969883999,4993.0125,2597.92,2058.8620880999,1685.2953648419,6291.5038,7143.0525,1962.9645663257002,2363.0153413917,6144.6074,7684.38,5541.148800000001,2259.31,6554.2365,2688.0471529687,2668.6965712383,2318.2033312334,2501.9937878082,8173.578,8371.72,3005.313238837713,13143.7614,9081.125453393199,2644.3484501088,10615.8255,2829.0913019606,11135.52,12708.761300000002,13905.36,3002.6320148384,3217.6478827290002,3281.7610406641998,3753.3957063364,11306.0343,1386.0479999999998,2513.7476,1702.7785,2771.5866
b0033,1963.8126,1858.8528,1959.6400153957682,1795.3547458487542,876.84,1061.1785,1465.5368,1251.894905478,1194.78,1274.9415351638002,1252.1917666453999,1324.481718525,1550.2824767707,1544.6606383771,1858.7172,1741.5485,1707.8381285006,1460.72,1836.6789740025,2247.072,1834.4779522989002,2309.3125,1899.01,2055.2860240741,1895.0948909298002,3176.4351,3362.8107,2243.1928277791,2344.0762084069,2918.7324,3765.2736,3361.9476,2072.46,4050.094500000001,2603.4825222328,2659.1854077435,2442.450687819,2739.9944177973002,3148.362,3761.9120000000003,2353.539025193997,6311.5592,7573.423199366714,2861.8496868463,4275.1275,3081.431709209,5468.9848,5355.9689,6620.414999999999,3194.144389205,3233.5521081772,3482.4062848676,4065.4820541403997,6249.693,1295.0784,510.1144000000001,884.123,883.336
b0036,17.2692,18.6948,,,,10.203,36.8784,,,,,,,,10.2342,13.5815,,,,42.84,,11.9875,,,,20.3962,28.4961,,,14.0039,15.4704,,,37.9755,,,,,1.386,,,84.3196,,,27.489,,,11.2793,,,,,,,,,24.4885,
b0046,2.4462,0.972,,,,5.681,14.8824,,,,,,,,17.0496,24.6445,,,,16.752,,13.3125,,,,7.7851,40.9188,,,33.7456,43.758,,,28.7415,,,,,18.998,,,64.46799999999999,,,11.172,,,14.825499999999998,,,,,,,,,69.72449999999999,
b0047,1.1340000000000001,1.0854,2.5620498018120004,13.019795858264999,,9.785,9.672,,,,,,,,2.6862000000000004,4.025,,,,12.239999999999998,,3.2750000000000004,,,,5.8293,5.6631,,,10.1525,5.1876000000000015,5.3328000000000015,,14.2425,,,,,1.694,1.7779999999999998,3.5977174361340003,3.1666,2.593536995765,,4.9245,,4.9432,4.1422,,,,,,,5.7984,,7.782999999999999,
