upid,GLC_BATCH_mu=0.6_H,FUM_BATCH_mu=0.55_H,PERSIST@8H_mu=0.02_H,STARVED@8H_mu=-0.005_H
P76397,31.6167691801,55.9223069976,69.1113193945,91.3796526767
P06720,8.0386000981,30.3670107126,0.0484538266,23.7542045384
P0ABU0,559.8905544368,594.4044441639,647.4846758832,499.7228942702
P37353,11.3292639373,12.8089956079,0.2972324991,7.8742467824
P38051,5.4447126494,10.4621233516,2.8770586082,10.298250895
P0C0T5,41.0915456057,22.6211565524,45.5669232248,21.7204692033
P07623,1385.6175463676,1065.7900830173,334.4433370991,720.6137840842
P00935,980.0553686936,657.8648991937,722.0052086169,686.1744235215
P06721,1151.2943816106,937.8081393459,798.0930756742,980.4112498637
P25665,20656.9993620665,11985.2646860935,3504.1147760278,7173.5604720096
P0AEZ1,2509.0881946177,1610.3118851901,1011.5525041722,1383.9322843775
P00959,1436.9918885016,1025.6907871634,1037.0840341851,932.5051625052
P13009,651.7599278276,485.5442520583,370.3777425584,425.5620704924
P31547,351.6008162709,279.9391600668,396.1516688362,275.0008940869
P0A8U6,908.880893386,1027.9694048727,974.7242805697,1080.4955320302
P0A817,5634.8700019327,3961.626680874,862.2809683392,2449.1911491834
P00562,653.5664746747,319.72879395,314.722289925,265.2689002068
P30750,895.1104969061,647.4314644081,1007.4587628837,596.1356867125
P28635,3258.2520819924,2894.2856851295,4317.1124206539,3581.1882545051
P0A9F9,30.9288052009,22.9190705567,1.3522925643,0.5381004231
P30958,342.0914570595,255.0444106293,426.6984103509,283.1367781413
P0AAG8,110.3674965678,778.0498379629,267.0917113426,724.7023139079
P0AEE5,1652.9971261365,12987.4941940846,3174.6153971901,11654.5784147987
P23200,29.7020373365,517.0903967399,231.3228933932,510.0158249802
P0A731,1093.7228336863,1679.1892255393,967.0481590081,1614.7194026332
P0ABB8,162.8444979338,199.2810028017,191.6624969424,181.4870906317
P77569,11.6811432765,97.0690828141,17.3780368455,27.7813988289
P16384,106.3296444849,97.6155545009,201.9578480974,99.0825466389
P0AEI1,529.7340225498,396.0660600173,71.8135785763,109.6891796402
P18196,312.6246621718,268.7547576508,186.8699382058,214.0515870808
P0AEZ3,1709.0322532734,1903.0833259625,1467.0774063701,1742.7210210456
P0A734,1028.1061881179,1268.5275737442,864.0918125397,897.1183890646
P03817,1541.0913248707,1177.4009835998,483.727036772,815.6890160096
P0A908,1453.6809793808,1537.7450388708,2093.3634458649,1526.4327168044
P76506,216.2232904887,182.2862739343,344.9369628578,258.9660547162
P64602,189.8886857649,164.8835361851,135.4665303713,204.2114734814
P0ADV7,883.2905722762,1062.7267507895,1457.0158936891,973.9086157528
P64604,968.2986847444,779.65648992,1234.4602862039,983.8863851549
P64606,147.4113737962,146.0769518738,192.8369019599,161.5314966827
P63386,159.9249424321,134.586560096,213.620009526,122.2083460753
P50456,8.9428160916,6.5170089962,0.0512514875,3.4340256217
P0A935,276.3143335824,194.7427845197,102.7721703228,29.6550013005
P41052,156.2452840529,120.6488599942,191.4606918144,126.0502309309
P0C066,143.9180078617,121.4200638528,137.1905648864,97.5897558381
Q47690,199.23696089,161.3206763932,267.6424212886,209.7113395454
Q47689,38.1344947817,13.1188533318,0.5079243134,0.933891423
P25745,678.8985493082,525.8624354295,716.7431906597,613.4013638165
P77182,52.6047504453,28.0978271545,3.0453080827,40.4691410693
P25522,252.2667894259,255.1545772302,432.0435232066,357.0155692485
P0A6U3,278.9287377617,244.053532649,96.7912787981,133.4139781215
P0A9F1,146.6836701676,114.6671352917,208.5140837891,224.3405082997
P0AEZ9,1824.9242624759,2114.5569544242,3256.1432690487,1787.5234080829
P0A738,272.2175329152,208.6104665952,482.443633805,296.4202792631
P30748,510.4820418436,444.2858764366,546.9626009259,365.7985108443
P30749,334.9720764,271.3620445207,373.6965221496,250.2976789806
P32173,153.63334977,125.1851362097,139.6261883552,106.8141654951
P32125,36.6462059592,35.5006548277,52.0044405053,43.8397066474
P37329,339.1188106898,558.5190474439,353.0411562835,526.6268194754
P09833,9.4199227518,17.4410928507,6.3644217871,18.2959945039
P0A9G8,204.5246479036,189.4217284385,231.3338290598,239.0724887933
P31060,352.3078640544,265.6287503492,204.9518769279,204.1286963269
P12281,543.8632155469,428.4051126856,408.1037384161,433.7026762363
P12282,62.2305845694,69.9660992041,79.8548786808,104.8785726049
P0AF03,55.580227474,140.3107739935,74.3962062744,127.1963403301
P0ACV6,166.0601234503,241.9907437084,219.1419920744,180.792597512
P37773,332.2841678714,273.4101798763,284.5255685366,325.153658001
P77348,178.4364306561,265.1918438462,311.5688714655,305.8555381726
P0ACR9,328.6217234499,316.536775495,227.6565402358,265.287161368
P33940,131.2737323742,31.965502326,18.9139393334,8.6700978594
P0A6W3,138.9962538086,118.4674356765,170.630883455,92.2797333525
P22186,100.9646377618,94.3032958975,312.228523888,179.3373148986
P02918,127.2772812843,123.6854888671,145.0724459664,120.5636615595
P02919,95.4931141113,96.6014847968,146.390765829,121.4985511822
P0AD65,42.1508396161,34.3774859719,41.9473794836,43.4003412435
P0A9X4,2945.5142877898,2560.4419377715,2969.3354192568,2664.4400005911
P16926,93.4572531433,76.6088459568,116.161172139,96.2695063684
P0AF08,1236.4906376106,953.7538358001,1025.6341786857,888.80024808
P24202,38.6752848678,47.935004307,7.2264730848,46.6955498599
P60752,460.8454687403,402.7130313095,361.0108693366,238.3950360045
P24205,65.5954009363,76.4572652282,98.5649010018,75.7174595994
P0A742,1574.6180789912,1414.7404917191,4219.742279019,1807.8465875325
P0C0S1,2099.2103953003,1533.4818232052,2268.9693467016,1488.4590323088
P0A744,690.721295,631.8384340021,1511.1514433737,845.5878617087
P0A746,1361.9974035264,2347.3707762901,1299.6466686978,1822.2666979701
P25738,1958.4472938156,2830.6678998783,9617.2998916095,3861.5210563267
P76346,292.7582551986,993.2230585441,248.9513304141,646.2846943854
P00550,542.2376422779,955.4327626836,3130.7001887387,1960.627781007
P09424,787.6292444676,1127.0228921632,1839.7965299022,1743.7217673297
P0AF12,2108.6296638141,1719.8946009434,1480.649879045,1461.2965808772
P0A9H1,369.7407821315,405.8203868209,580.996340196,537.1712875487
P22523,253.3028584496,243.5099889082,104.4557207015,134.9207537318
P22524,258.2775581322,264.6987308761,187.3022583176,217.6185454055
P60293,83.5421197148,76.5615409775,48.4267241831,43.4837249046
P0A749,858.3890371105,843.0711147719,512.2248462245,576.5716061258
P08373,246.3727339509,204.2255975121,203.5653409689,226.6761411313
P17952,488.9440736514,391.8757308695,377.736487609,317.5453045995
P14900,293.7355864681,246.9604288705,297.0992456311,247.5153071888
P22188,699.0311449251,553.1225932207,503.2053619377,417.3703553902
P11880,315.2817560383,218.8426367459,182.4203315084,241.2091174711
P17443,216.3592536993,209.2172098573,252.8381654934,215.245152205
P22634,87.8544634427,94.5436043652,173.6496737192,101.2614712044
P77272,9.6672716122,48.0989036279,16.6229165469,35.5292671328
P76535,127.631588517,322.3591587835,146.74030103,325.6661925309
P23367,553.8634152188,175.0571279198,134.8669069526,70.655383624
P05523,32.2564737304,29.4242600183,31.5673722239,30.6709456323
P23909,188.4259059804,139.5117561008,160.5739005332,128.541102162
P17802,2.8698438232,2.0639607838,17.4479979982,3.9443509256
P75931,227.4686153327,135.5466164256,146.8915499498,148.6807833341
P0AF16,10.8462310948,5.0665391646,17.1248924126,4.2999529103
P11458,299.5238575926,222.5163113327,20.1057173961,48.0408686346
P10902,92.2425872131,46.4047481587,21.932207108,26.248127674
P30011,287.9640844824,284.6262826989,174.357540126,213.1004095798
P0A752,95.9340870408,74.2547474159,52.0894508121,45.9279835527
P18843,2115.5777834765,1513.6432990146,1690.6890380137,1536.9230722623
P27278,55.8080566482,47.191233691,68.5563705507,75.3019133007
P0AF18,263.4070591084,326.3101952937,503.7277658864,371.3730714662
P0A759,563.7746945985,645.0471849845,834.8322601573,855.3867926229
P0AF20,143.0258574262,118.1714890979,204.2692043814,161.1317288589
P0AF24,792.280372914,632.8321685553,793.0300454486,660.3863269679
P09323,502.9094929737,1131.5359631322,1410.4190593704,1486.6427233379
P75959,24.3846000209,68.3032906693,33.9834692748,90.8063367889
D0EX67,205.0322233988,190.6433877272,148.0648023014,171.6366560354
P0A6L4,38.9699014898,96.8387903368,41.9934599754,93.0938515482
P0A761,22.8391453815,75.477723133,37.3837123108,70.4311496108
P39371,39.9911131079,33.8594703432,90.3362381688,52.5823260549
P0A8W0,63.7919282069,68.0884606773,77.0461515612,70.1269258139
P0AF28,961.0094863407,929.7653254791,944.144630209,1095.3756199131
P31802,65.5247608469,80.3490562511,24.706194653,38.1591263355
P19319,0.0776589793,1.3367666213,41.9033422688,1.1249525797
P00393,1147.1942298385,689.8734874679,1394.8342776169,824.9089008124
P0A763,4849.3937849708,10839.5060701288,2805.8870001086,10147.0930534658
P50465,16.1753638217,6.3243791894,34.6316368289,11.3859769168
P77258,143.9024417332,99.5820872758,17.0617853678,16.5074097614
P68739,47.0778367273,113.1198986811,42.3702659986,66.326607781
P38489,1724.9901795274,1545.1085904496,486.0468256337,1109.5089367408
P0A6C1,101.1399647137,76.4875471478,17.5611052601,15.3347269554
P17117,857.1451499045,746.1558911037,627.6314850227,650.704370994
P63020,1809.5899748611,1586.4964695731,920.651624158,1498.9961299703
P0AFA7,33.6238140828,43.8353709357,20.3357694096,48.3747599538
P0ACD4,4850.7700390525,3765.9302200506,958.8256122765,1654.7922928779
P0A6Z6,310.6730755283,299.1434007823,246.6530094476,290.3838890517
P04846,1097.0594185601,810.1111171098,1168.3032652733,787.3457328951
P0A903,1497.2171001402,1281.2998996019,1603.43828362,1325.6137009145
P0ADA3,541.6332500911,453.6964421279,606.7022521531,539.8300183087
P40710,37.0861993335,39.6693252567,80.3979069971,44.0166796462
P0AFB1,200.2594174877,262.4004288853,229.748051239,258.8739937505
P21420,6.4071060297,34.3015985335,0.1181249678,1.3901262845
P00452,1048.4831694269,972.4558068037,807.5301603959,1033.7128431412
P69924,471.0125169804,401.7767538157,438.8902265402,445.8776436679
P28903,49.8641553056,42.1359189947,26.5857843604,42.1595270275
P39452,20.579236699,21.3460556812,2.9846856033,13.3843865443
P37146,56.4286955878,31.5609851387,16.2017536687,22.2683603172
P0A8D0,229.5230999868,177.6581440948,261.1787269311,223.8348347811
P0AF63,68.5054715361,79.6351367278,65.8945029028,92.1364098293
P0AB83,30.7303971883,21.7468003535,23.332341918,25.0309615868
P32664,168.8487310364,111.3502176437,142.701599162,105.6584322397
P45799,312.9522230121,282.8981231257,170.2471671576,382.7298437928
Q93K97,127.7374443448,128.8852582355,136.7104953549,100.2411758665
P37128,180.3231033925,135.2568415377,100.8767219881,123.6314545548
P0AFC7,319.1662560663,416.0559019059,335.4091198446,554.876767006
P33599,868.720937511,1286.2034459451,1036.2024901624,1409.8910603828
P0AFD1,755.1077122984,1545.6205768896,886.0364385462,1360.8064889751
P31979,681.3922775342,1065.4026919184,919.1877372715,1276.1809632253
P33602,677.348593913,1164.0662640198,755.8673774563,1101.3206809071
P0AFD4,70.0010782632,156.2856506062,108.9969239816,164.6028301023
P0AFD6,596.1187424266,1127.2315866173,982.3074208421,1222.1070795545
P0AFE0,66.7007087723,126.387905003,130.5421776084,76.3899183921
P0AFE4,101.654415489,126.9596118068,177.8588539902,111.8427579023
P33607,120.7961372588,198.0322938736,261.0620744419,225.1003307143
P0AFF0,39.710044603,38.9749549564,63.7781122736,43.8158220989
P0AFF2,296.3256044084,255.8927101553,415.8235919225,276.0328988146
P0AFF4,33.6627276552,86.9163065071,119.6709181027,84.3285564985
P0AFF6,2214.8788243734,2014.9323418168,2280.0698724312,2133.0249416096
P0A780,645.9612723145,702.4191587892,576.6153375508,706.9273231701
P0AFG0,2567.5731873514,2201.9384765463,3121.474423437,2433.9162914967
P42641,385.2837432175,397.4405128979,421.6639979326,400.9599515858
P0A910,20689.3461810523,18068.7551596576,38174.4581007987,29777.912623078
P06996,95.6438701251,42.4233301233,39.0160481004,26.5493294001
P02931,251.8354594634,400.3476346089,62.5832330477,66.0518231239
P0AA16,706.3892091157,1166.4511780571,2077.1131289062,1447.4646701612
P09169,1141.2016815365,1855.6910839661,1817.8825478937,2628.6954359149
P0A917,92.9327517534,28.5507823854,326.2490905951,69.760313337
P23843,3217.8866771023,3833.3760021653,3449.6449815452,2340.3796936075
P0AFH2,68.2103838345,88.1332853669,42.8240056404,61.7785262005
P0AFH6,174.542806391,166.3294639536,110.9290268611,118.1259941551
P76027,197.3637741085,228.7536302027,184.5147247487,215.5051294172
P77737,161.2338669417,201.2662533404,190.0494985816,169.3288318162
P0A784,518.6443005932,528.7986128447,584.4301730681,540.9873303696
P0ADA7,1648.3675559603,1278.8214852677,13878.3470400844,4954.686573267
P0C0L2,2158.4365340403,2338.3976126166,7712.9740231167,2914.0418085542
P0ADB1,5570.612984789,6163.3799649312,19262.0695525152,10793.3847187329
P33362,355.0091919726,498.918927188,502.2967814609,347.3809985183
P0AFH8,4058.5968138667,1675.5683750175,11610.8357321022,2510.3082487279
P31677,213.1859882339,188.1048220673,548.2373272079,189.572590099
P31678,67.1077731147,50.3972649486,118.7252466476,48.7532590931
P25714,901.4141293801,874.6498133823,1250.8390555349,861.7518333685
P0ACQ4,468.6768378593,436.6745963319,353.8730420119,460.407097117
P76086,163.8717826839,214.3368733167,215.6550814879,171.7109705521
P00903,56.3650552378,36.4723474737,43.8212813556,27.0380449887
P28305,28.4661557001,24.6437740824,17.1124906853,12.5960760639
P0A912,8966.6888394753,10744.1914433668,11990.5404809313,13037.9942918099
P31057,1800.2517165982,2295.0520837107,1854.7456906397,2126.87674596
P31663,1018.4473498192,941.582708836,1004.9792189728,1025.7607784807
P0A9J4,27.5077544321,4.5734302304,3.980952385,2.7450315351
P0AFI2,315.1562641975,269.856239094,261.427911561,257.8298811331
P20083,195.0475938074,155.7600572993,214.6889182197,170.0048292197
P42588,173.7354192976,190.5966373377,129.9826457405,145.980571239
P0AFI5,83.7889153096,30.9382526267,21.0012484877,2.1615067979
P22259,1136.182130665,8199.9052617545,1444.702520159,7764.1545223862
P0A7A5,158.1569703844,174.7227333542,147.6886617676,146.7814642871
P0ABF1,203.2328327959,139.0551573724,178.3337947515,161.8715941032
P0ACL9,66.0749746644,48.4134222482,67.6211385054,87.2024669585
P19624,137.5076795507,134.3816545882,96.9873772253,138.4251923682
P05459,814.0285518334,666.7890183602,790.5841020473,712.6813807895
P0AFI7,546.7469535632,536.2001186267,405.9489207629,495.8483259909
P0A794,896.740603948,893.6201485264,1025.5888472337,1087.7076209801
P40191,167.8565532371,160.7745440216,178.7541849727,165.8480123399
P77150,203.4048068571,121.074071783,110.9457056385,79.8266337874
P68767,919.1088854188,985.3300771279,1158.5014531091,1119.7586242671
P37095,120.2792261176,142.8576608999,99.979817822,152.8155696657
P15288,1836.5010083816,2131.3774450708,1811.6165180536,1916.9186511828
P0A7C6,105.5682077068,472.9306103408,86.4049726701,361.5871603062
P04825,899.2943386575,1047.5097160799,772.375510746,873.2298172954
P15034,611.2100922894,763.1060007666,820.1332879298,841.6516448171
P21165,1073.6993739881,1292.9780594123,1104.4005380575,1414.323277863
P29745,375.5453908819,382.957932212,939.6529719851,559.4193973365
P0A796,1236.3747951771,871.1590176424,1214.9962221326,1007.9489480396
P06999,1078.5989633766,998.7092463113,1400.2821108911,932.7761831322
P0A9N4,170.8107144821,182.0219245733,322.066886905,195.2239166228
P09373,3530.4674931617,4287.6953064898,3922.8710662636,3078.0438125894
P0A6T1,2233.9290111235,1902.4771861399,2634.7967300533,2116.2357007392
P0A799,9575.8404165784,9193.7695961103,11581.3623946237,9069.1506949693
P52697,1381.6398339973,1484.5376236333,2272.1369037286,1594.1648759736
P36938,1275.5631773124,1432.9430629678,1278.6544213256,1393.9985625309
P0ABF8,254.2365708463,187.0547439324,132.9320119554,233.950729335
P0A9J8,1466.8625496077,1318.4449213366,1187.6377995931,1272.9034554977
P24207,54.5718916637,42.3254221744,50.7796363364,44.5505223823
P08312,2892.1181312943,2242.9290163707,3137.6590815839,2554.1655514533
P07395,3119.1952654526,2487.9644919045,3425.1114876628,2721.164996224
P0AFJ1,178.9914300528,267.8298018852,432.8343300405,220.2722349258
P16681,24.1853389029,60.227512435,930.2082397225,144.1012248863
P0AFJ5,41.3917503483,79.2533649862,52.879151064,54.8482290352
P0A9K1,20.8856272878,9.0777876716,22.2076194807,5.4200000272
P23836,1103.9501830575,1154.0249620011,978.6916964648,1159.6750791773
P23837,32.6172237467,36.6331864678,41.7058167373,38.5160714687
P0A9K7,446.0218973971,568.0284887436,593.3472907114,584.567798245
P0AFJ7,404.4561012159,299.8067713841,508.7246445937,362.6253173133
P0A921,63.6017484856,73.4113244984,59.9984055155,38.368851874
P0A7A7,399.0739850274,358.5548991365,485.4011633995,440.0700326271
P26647,111.6464041792,85.5613655561,219.5870346047,178.1951788475
P27247,52.5888901847,79.4005360372,70.2939613422,52.9498515388
P0AFK0,870.8515444828,795.5495248534,754.0073896698,706.5278171139
P37590,66.3040526966,206.9631544218,59.7524170454,171.480403763
P21369,130.2243300383,127.3553941871,62.5948574848,128.6261656245
P18133,568.7332493482,444.4583930439,143.5063301864,169.5033739725
P05055,2703.2285243989,2792.0898288229,3230.0969174074,3247.4032890871
P07001,2070.7239237681,1168.5576044144,2163.6883594457,1320.0259155705
P0AB67,2545.7526368725,1380.3777205736,3248.1022294294,1842.0292160034
P00582,559.3477927621,599.1442942271,650.0688897849,627.8756012434
P69874,273.8731265437,214.4076962546,278.874036396,222.4488855879
P0AFK6,43.3679716735,44.7313782674,49.4842818412,43.4513833615
P0AFK9,1412.0357051014,2122.9402024848,1667.125771378,1951.9522987322
P31133,1275.5609707905,1714.0991078834,2263.2540232434,2014.8711049267
P31134,132.9123853591,157.2771767198,108.3302190611,105.3980211119
P0A8N7,56.0107760854,55.6836935128,50.2693725902,60.3680779663
P07003,536.9381786926,474.0842376084,1256.6240772348,575.8129676194
P0A7A9,373.9889605447,641.2308523433,470.833570582,857.3051465695
P00864,3947.7136938997,1619.9796865972,2783.2974064844,1628.5450118395
P0AFL3,1379.4758406751,1390.6663736977,1482.3785366417,1036.7117045168
P23869,2950.7067163644,2253.9342406286,3090.1200532104,2096.2451995683
P0A9L5,955.3436812102,1123.9469946267,617.7209251242,812.4465021045
P0ADY1,839.6162087676,887.5733324531,1024.6841425812,1073.251069633
P0A7B1,167.1315322609,143.0179318761,227.93401449,182.7018437933
P0A7B3,118.2236783741,126.0446227816,159.9034642174,135.7871724321
P23538,983.2006534604,2718.7504383374,895.632466077,2955.6350036528
P31992,179.7676034125,370.9925733898,6.5577583386,8.0246689473
P0AFL6,106.7981292817,105.0419110639,88.6380580917,88.8309988206
P43671,11.2747889475,18.5700516685,13.8284000515,5.7495599912
P31828,19.8623122775,31.4277779011,27.9652659683,31.8953676707
P23865,666.5410877928,620.5773677742,739.6125723663,617.1097589774
P0A7I0,123.3730519934,102.0511063835,97.0451185763,77.9590936578
P07012,1270.5926809454,957.506247074,918.4139496515,1010.371652721
P0A7I4,749.7302237906,621.8633567396,747.3519922883,643.5616680736
P07013,44.1044969681,40.476599221,38.9552119104,26.8474509884
P23862,49.5408550188,67.4588841153,39.7918515772,62.5186506027
P0AEX5,70.0511811162,102.4611603783,97.3286282426,145.8171656883
P27298,832.9402577689,764.7679809328,1031.7040284915,782.0991424913
P0A8T1,273.7821573798,251.7618304161,280.377772312,269.5086353655
P07004,866.7621410686,729.4867446346,854.3292919038,777.207732018
P0A7B5,635.637378808,463.9893544004,403.2922482158,456.8342075226
P0A9L8,783.0388149981,659.538900056,1088.891161359,904.3514515718
P0C0L7,439.0145446485,138.8692499109,437.9626153097,194.1909465099
P45577,1662.5484739568,1205.2130492303,1069.2616494561,987.1993945716
P16659,2616.9801286693,2172.1907315553,2479.7603497294,2160.6277869609
P0AFM2,278.3215957824,323.1735919606,302.0623685484,374.4095852969
P77541,44.4329240104,648.5391392536,323.7172675801,260.7365916225
P31660,36.0169197579,360.2642676136,520.9814221485,95.0596658773
P77243,46.5380529733,794.6529050169,113.2969234087,333.3515605964
P77674,81.5796612807,1343.2250009755,144.4314912648,695.5453077369
P0A717,3831.8470831655,4082.366151229,3396.1877939853,4800.2429410512
P0A8K1,1065.0558671737,942.1571201399,1345.969473139,983.7001009825
P0AFM4,128.7703366528,110.2423739312,1059.5052648885,162.4226952227
P0AFM6,829.0121643837,889.3440619032,2262.3859782238,1386.6859036116
P0AFM9,327.4980849623,297.9382939478,1287.9869751216,363.5276741977
P23857,416.0375499718,1841.2880629684,259.854515225,456.5416507973
P23830,437.5762642439,552.3721107829,595.2924371664,590.4201440858
P07654,10.1727312961,11.6762938837,11.7716433023,18.3584242421
P0AAH0,289.5669353336,327.0428475963,267.8198250455,332.0241949143
P0AG82,350.3062554396,648.883432939,478.6372669146,555.0864370784
P33025,5.5763885009,62.1970883173,13.5446097544,43.1775868926
P0A9M8,1372.0327541934,1491.2608623721,1327.2146840145,1389.3107644717
P0A7D1,512.6267476697,389.3024154521,432.3437080509,374.7388778738
P05458,81.8930879189,53.4687330723,115.5714998413,58.1791392226
P69786,2545.5039468658,590.6667619696,3310.8011600649,596.8010648979
P0AA04,9542.7112928123,6800.8755632789,11353.2209112971,6346.990864569
P08839,4380.7379973375,1892.7743943597,5284.9067599267,1954.680707099
P69829,335.2074151705,343.1117848792,343.3487822906,426.1209894956
P37177,154.1656907025,149.0663304732,155.9599911597,131.5634477419
P0A7D4,4407.6191539628,3470.0306483825,3373.6535829769,3434.3135492205
P0AB89,1786.8755233141,1269.4724463579,1491.3435203872,1350.0312425542
P0A7D7,3718.3441717185,3626.9370874534,3096.4408012107,4188.3853257985
P15640,1483.6119656534,1021.6985447921,1060.1558373836,985.2337284089
P0AG18,1813.2851326552,1159.1581876251,1476.0690349219,1129.5347922124
P0AG16,927.6924605121,612.0661358494,328.4244642266,478.7162642349
P15639,2613.2674709857,1895.6574491275,1931.2800440839,1843.2769693241
P09029,387.5362635628,257.1592133262,349.3605183446,289.6059609788
P15254,1846.4691834692,1653.9303319572,1439.8080618582,1561.4610539875
P08178,2451.9674515399,2086.0073128553,1860.1656242428,1783.5205199791
P08179,326.4415662111,223.208493089,262.6970582702,157.3958940347
P31466,41.2385145073,45.7754315915,6.8425560655,8.7341866962
P0ACP7,1009.3496481268,997.4724050531,1020.9584668344,1083.2158556414
P33221,1195.4383666099,898.4278665132,855.5225176426,924.606488068
P37051,1998.2854000963,1516.0162711995,1448.8089610848,1359.2408552816
P09546,80.807460347,119.3490082541,157.6475011892,140.7867682849
P07117,178.8805424018,240.4483369661,201.4144302226,170.8183061279
Q5H777,120.8479026534,73.7861256354,17.800780817,40.3478845924
P37906,26.9227949708,11.7344172535,1.3075187539,2.7163826435
P23883,136.69769554,69.8041848306,15.4217771977,21.0195080831
Q5H776,229.1270283428,118.8231484368,41.9458770329,55.6347696618
Q5H772,110.1527798888,80.1318776135,7.9079959336,18.3015825761
P0A9U6,76.5759156929,68.41584309,52.2126386128,38.5453483528
P21599,1588.4865347236,1903.2696889361,1959.7510846124,2073.3991125444
P0AD61,4690.0730563188,2400.3534488118,6990.8587836288,2822.7611697013
P0A786,7884.520414753,9231.6206906401,5183.5475803159,11446.9950045091
P05020,3791.4480209003,3864.3125342155,3166.3638775372,3895.2608167843
P0A7E1,985.6937031655,706.3496236654,851.9426352349,845.6199915006
P0A7E3,55.5513212003,28.5112563972,22.1259390715,37.9530543492
P08244,1225.1907247328,1007.5469517284,933.2075451964,1072.8588179219
P0A7E5,1484.0494696794,1114.5548010374,1479.506154888,1346.653356564
P0A7E9,1748.5062614185,1776.2384178075,1160.703689463,1539.5834628826
P0A7F3,8411.3309779516,8889.7008419163,4603.6207818341,8674.5043249422
P0AA53,113.33065855,111.1676146555,431.1035512532,388.9823773388
P28304,672.3719275063,950.7318332898,2214.0205520446,1396.0952751483
P39315,233.5473380804,288.2137499092,235.0023597804,270.2252814772
P52076,5.6429427183,6.3852519376,2.6359139671,5.8365316072
P0A7F9,197.5813757803,110.6540937163,115.797636856,111.7774064981
P77756,397.8731435767,291.742926761,344.4761438513,268.4190942598
Q46920,227.6331773586,231.139864954,212.2829917652,167.4216280998
P76062,136.013509599,116.8197757825,145.2128102659,141.7343281073
P24554,130.4447954473,84.1603858096,355.8640907627,82.8312670949
P0AD49,1085.6183806419,1643.5648720378,5645.2157437763,5094.2288641587
P60240,205.0644191492,159.8397871839,301.6099074437,178.7184163165
P0AAZ4,19.4158314145,18.0090755869,11.4963832956,12.4518572372
P31473,63.9624906143,57.4804219467,96.5868621537,76.632950418
P0A7G2,1057.0690230646,1118.3749414142,1265.370619542,1247.486115891
P04983,79.6717203919,195.227007684,158.6660532442,196.9106561627
P02925,1642.612903379,11045.1239851235,4648.9646980973,9842.4076786327
P0AGI1,69.828250784,177.3281273695,138.4946405433,218.7322298557
P0A9J6,118.0357481832,343.8520768521,108.2932601943,255.3511707419
P64530,211.4937247798,135.1225079766,393.3729648209,210.7705595664
P69407,1235.2618056321,1378.0992991535,966.2446480537,1043.3097950487
P14376,21.7203763823,13.8400930845,35.9246865652,15.2968965731
P39838,125.0457485499,102.737577357,158.1439470031,114.0995682738
P69411,1393.3731509429,821.8939602592,1708.7254275436,1268.750989478
P52061,533.3704522861,506.5553771801,383.628506585,465.6402601672
P36767,361.2109335905,280.1878521799,440.867717505,278.221229338
P0C0K3,39.1682341132,45.1136712539,74.8965876138,43.934932906
P0A7G6,1526.7242977805,1604.4179749855,1119.1075864329,1613.6015467705
P08394,7.642782551,5.3742447123,1.2684146566,2.7916843661
P07648,12.5634855089,9.5412896903,12.405689976,12.0535444759
P21893,59.4093719417,48.1232211567,13.858027817,20.7520048279
P0A7H6,128.1604258807,126.9145364791,115.7377891165,112.1798293994
P0AG20,180.6357425222,157.3129421099,152.0051035399,168.5078393162
P0C079,144.7255671089,131.3698425575,165.853304539,142.7830179674
P09980,16.0757047266,12.6833565103,12.4381959666,17.1059434299
P27127,8.6108358278,6.8294199823,22.2237983659,6.198900811
P24173,44.1463548798,35.578473295,90.777621011,40.4537651728
P37692,192.6682244246,178.2814669184,193.2605641982,153.3319247297
P25740,31.2712574276,29.6590649251,43.9839732186,33.5898919797
P0AFW0,165.7577591848,159.4974591606,144.3410085414,157.8287503637
P25741,34.5612624148,41.8822115278,50.1197508924,53.0417705046
P25742,18.5197938356,19.2145561843,6.7999321055,28.8829940006
P27240,86.7480878249,88.4002700139,127.3757464755,102.4164116472
P27241,35.8087659503,24.0920948026,66.4388335914,32.7042019477
P37759,1011.0973620942,888.1535406638,752.2506830889,872.7143729654
P37745,257.0021953305,267.6177614743,218.7763188997,221.116852699
P37760,538.5022532177,449.7806625136,265.4024504322,451.3757680436
P27833,232.8682260959,188.8766746822,155.0285510364,198.5142670426
P27830,118.7730835398,81.3633597188,64.8052460722,87.4842869642
P0A8J8,691.0600690578,674.7890141534,666.2025638608,560.3794645983
P25888,29.6032389644,7.9899257558,44.2482688267,8.0946303774
P0AG30,2317.5677512713,2188.9189155372,2399.1516067154,2433.442150787
P0A7I7,432.1813450205,340.720036903,325.0807786596,367.5512715688
P0A7J0,231.4408980529,210.6912185639,359.9500284294,263.397382084
P25539,177.9851224181,179.0046639729,161.5535239641,191.0043736792
P0AFU8,786.695170282,610.3156771127,940.1419239715,747.714528923
P0AG40,262.1108197168,265.8142316413,240.7654290276,275.2399744136
P61714,3539.4895180406,3823.3103055561,3753.6105461875,4237.823285741
P41409,6.3665655033,44.7016539888,0.6719681591,33.2926149057
P22564,6.246046479,209.7886231438,15.3157680861,394.6741558281
P0A944,17.7431662132,21.2675212822,15.3374458543,13.8010777285
P0A948,88.2505299276,42.837368341,39.3988730745,42.5264048568
P13857,70.5270152378,89.1423871879,44.8215283221,86.636233097
