upid,GLC_BATCH_mu=0.6_H,FUM_BATCH_mu=0.55_H,PERSIST@8H_mu=0.02_H,STARVED@8H_mu=-0.005_H
P75913,492.8933758752,471.3832595154,357.0724957112,452.0999005945
P37666,1917.7175080245,1210.1165389771,1181.9717964031,1009.3577290353
P37330,286.2679453599,954.7664903889,415.7717434096,891.2593794862
P0ACL5,2.8848741325,134.675207376,4.6400559556,39.8849549211
P52073,1.7004616118,10.826133089,5.7728407231,0.8196655398
P52074,0.1703818424,59.9431737698,1.4250835592,5.0015594749
P0A9S5,131.60127005,206.1460052278,185.4355762542,247.7010992542
P37747,674.9260584359,652.4483587798,309.2399020367,466.6791719737
P0A6U8,361.1021315231,373.1752075177,482.4551373626,460.1866039795
P07762,163.6142093115,183.6634013327,230.9247121398,225.3187165954
P0A6V1,671.9549718414,740.3246936248,1031.7086062954,1210.5511643694
P0AC86,196.8633495861,229.9589182695,198.5683735055,265.4280900352
P26649,4.2165420524,6.0144195244,202.6950120965,79.8093173297
P15067,72.6506738205,75.2262786974,55.7160148061,63.7588334986
P0A6V8,528.0497277602,721.6342611768,606.9061293412,712.240012182
P31120,1268.6748363364,1011.3113410366,1371.2758345626,1189.7189937977
P17169,2485.3426616935,1778.8987649883,2073.0324617089,1808.4124260952
P0ACC7,536.862798521,338.430089627,558.1306576359,413.3702191815
P0A9C5,8726.4966013312,3900.3812125693,4279.4158677918,3931.8936966215
P0A9Z1,772.3344312792,881.7730064218,715.7072564984,953.0230040079
P27249,83.1665318602,89.3380505987,50.5127860767,70.2847398319
P30870,104.9320729699,105.5934446542,63.7386306305,93.7467790118
P0AFB8,146.1071006853,62.3749960318,123.142281557,57.8650994623
P0AEQ3,2549.3284306678,6037.1231441753,2925.801256715,4603.0313773366
P0AC55,323.5146968881,30.8255026805,270.6938570533,9.8064913664
P0AFB5,143.3161790011,68.3290455901,84.9331164449,55.5285943651
P0AEQ6,156.1832288398,264.916498729,250.1247115742,319.3936446321
P10346,782.1524866203,1337.1659508918,981.8685519492,1231.1908846302
P00962,1268.0732393756,1112.7955443167,1232.0682678136,1189.4285389594
P0AC81,448.8701656707,735.1146399623,490.2374637712,471.209347479
P0AC84,309.2124253452,394.4174065214,535.988430366,576.1763921093
P13035,65.1667812545,87.060258264,199.5722851068,261.0306231809
P0A6F3,199.8205435645,606.7285794881,429.8982890571,774.2501571033
P09394,10.2508437846,19.0648874655,37.8213113435,32.7981060095
P0ACL0,111.6775383895,127.0674767695,155.5406397717,138.2349558446
P0A9C9,163.73806587,124.7915372679,136.0269006938,119.3912726971
P77454,71.038783966,55.2913114807,109.2729765745,23.305705574
P0ABH7,5260.7150952305,10535.6685547102,5931.0565662718,10743.780318756
P09831,3465.1756822914,1503.2686903937,2544.2882478183,1058.9393356765
P09832,2729.6603160532,1124.5944155016,2344.5675514068,862.4835173704
P37902,2199.603412372,3784.0801882488,3264.4506580492,3996.6824266005
P0AAG3,153.0348367218,159.4359879204,88.752582805,103.1266438514
P21345,95.7433934349,31.4735498331,57.2985122453,22.3312172304
P04805,1863.811474376,1480.9483947943,1545.0257506836,1525.431564079
P0A825,9806.1087493535,8002.2570060891,6078.6769010109,6249.1167762824
P00960,1117.4765299699,973.6244635583,1035.953435324,1048.4856908232
P00961,1871.8762151852,1798.0240668095,1927.3113321736,1989.2709317029
P63224,1360.8166842841,1846.0229642779,1097.3401851924,1742.3616548466
P63228,507.1645706247,466.0155953721,382.5916944884,473.8631328905
P60546,596.968730118,378.3098005771,709.7816385488,388.6757718591
P77334,1.0902278764,0.065584016,5.2420040915,4.9732230137
P00350,5520.6847202118,3274.5355850998,4898.41822325,3661.9827483908
P0AC92,406.9497552889,239.6404311759,421.6173502458,252.2720540386
P77695,1878.0698139628,1688.3935579532,2706.8425111882,2309.4567356641
P0ACP5,71.483472008,88.3339924317,130.4557622967,147.4672046861
P39835,29.6372788452,5.1206346232,57.3955004736,22.7844186925
P06715,758.8942809661,670.5406375347,689.4689479835,728.4936599141
P32662,410.5434980993,350.897316736,153.1738859006,275.5367151475
P62707,4527.6101087118,5207.7524629755,6917.6452467907,6053.4687362559
P0A7A2,509.6636438165,717.9578502521,195.6024937004,508.8602911776
P37689,1469.110701721,460.3646039682,1375.6099389916,539.7980122328
P25552,133.2364811634,122.9047495917,52.5319785375,92.2038159692
P0A6S7,438.4561572559,463.4790557744,634.5359411936,517.3446439314
P0A9M5,1834.9586018097,1905.3731301973,1198.4690385245,1910.5642261062
P68066,454.0060802059,917.5755414915,229.2362933032,764.998579448
P0A6W5,1520.8371474061,1618.3678576783,882.3826087702,1199.2255413565
P30128,89.5052208124,141.3242977344,111.2533378029,48.9011046334
P0A6F5,8583.1351515691,10813.4627236473,10734.1169434941,13601.0835652206
P0A6F9,5761.2536647759,8336.9729341443,7286.3053977647,10388.948798891
P09372,3408.4224356819,3332.8568528287,3683.7294124975,3571.6922838263
P68688,515.0372145203,602.6641440981,390.0968602022,416.0436288196
P0AC59,781.3191659014,915.336883175,1277.3932832573,945.8380905872
P0AC62,3851.8663590528,3002.4151123374,4753.9185615227,3240.1769923904
P0AC69,3874.0477804548,2890.8060984708,3087.4672726528,2009.2047987965
P0A6W9,390.5080560284,318.183594437,362.1801360728,307.3387449587
P04425,876.3676896579,749.0857677516,699.6812540739,805.5457478018
P75796,63.4353938197,66.5669647089,54.3621303413,56.3882292827
D9IX93,393.7967846013,449.7018149597,521.3255347799,446.7284905247
P75798,118.4019876426,111.142923067,111.6689635376,104.7638944725
P0AEW6,192.9413372066,100.5349995126,97.5004329194,100.5520724792
P0AES0,409.7769544106,138.3528471585,321.3771039174,140.9703541314
P0A9D2,731.1538341975,979.6967945978,1122.8443593846,1030.2311735428
P04079,2965.6216246559,1866.2422434481,1786.4484842873,1744.0127319536
P0ADG7,2167.0964607626,1458.3008461552,1688.0085700308,1680.7348687353
P60560,1679.4330552996,1679.9331620693,1120.2085781425,1625.0872521656
P0AES2,13.4859683246,10.0983438107,6.2557116749,18.4581319742
P17115,107.9774999772,168.6772351495,95.2438564709,121.6394131131
P0AES4,1108.6934496619,924.5657705265,1013.4991961467,943.4205552947
P0AES6,933.9826170945,761.6619824041,1045.0776051663,846.6011907357
P33012,86.291962555,131.2942664812,944.6706399297,251.4602261067
P31658,582.9719990142,871.4178171623,6818.5055787053,2401.8143712607
P0AES9,4922.564172383,5374.0649271096,26993.0611752015,6282.5754841775
P0AET2,421.1027790142,486.2285536917,4178.7964788829,583.9685841447
P0A8R9,89.9469223359,66.0020117498,86.9830103321,80.0896867697
P0AET8,340.5151847929,442.2412921407,480.9964449723,416.7719318847
P15038,81.3326435893,73.6903418609,74.4090741141,87.9803373169
P0ACB2,643.2035364386,733.6689259016,626.2555174694,817.4496884582
P06983,405.7923974076,395.7842724195,541.9723344761,466.772994108
P09126,38.4946321417,68.3429702016,61.5782661189,106.9547564752
P29680,485.3637668772,428.0130704663,367.7915101801,369.6266222665
P0ACB4,168.8664982822,155.1082627173,151.5518908566,140.3609194214
P23871,27.5084100095,36.2820842465,58.7027761748,40.0069067447
P23893,1680.39288838,1409.2575400612,1325.0674071752,1529.467723806
P32131,89.4373075282,74.1567256818,46.9501845723,64.2307973915
P09127,584.9030725246,665.2339207891,577.992836778,680.7688847502
P0ACB7,203.7672347922,284.1711935561,200.265805807,249.2781175615
P46118,82.4075016878,178.3792337479,76.2918004374,173.9823795631
P0ABC3,850.5472620633,888.2618117627,1220.647800188,936.0141484651
P25746,321.1487946109,241.5279094094,329.499994219,365.8156819112
P0ABC7,1216.2972116581,1138.9942940173,1554.0043103254,1279.8027556569
P25519,337.0356714611,319.2788653097,287.4380895137,313.8821936937
P0ACE3,271.9066305312,253.8979564979,96.8773761093,60.9986165397
P0ACE7,1213.5494343238,1236.19416463,1098.5437106372,1457.9779715464
P23874,3.1051013485,3.5765703553,2.7852914031,4.1976782029
P10371,956.3774326659,705.6360316906,720.069169138,565.2251173128
P06987,1481.4330115476,989.2389041415,1616.0814424451,980.4912049538
P06986,1699.889167889,1102.904500396,1128.1576711294,926.3354842351
P06988,1644.2724522351,1106.9709250621,1255.6095119571,993.6908803062
P60664,971.8435764599,672.865152245,830.4536159887,569.4441791845
P60757,1558.3008192196,943.6369173122,500.092552878,709.4147205831
P60595,905.1767227798,799.2465072568,784.887187622,612.3719621784
P06989,1563.2847431544,994.8266181147,1866.3111500094,985.9601501447
P0AEU0,4111.4872772665,3616.4200924144,5158.6624654122,3398.4125011339
P0AEU3,25.7521163995,33.5360270706,27.2033116102,29.3863517904
P07109,449.6413880288,427.5266213734,508.1261090171,454.4210630927
P52094,132.3345673765,106.1989786533,208.1801129352,140.913114058
P60906,1184.1840184974,958.4966452691,1063.248721515,958.6274396515
P76341,118.2264858986,234.0233499149,54.3383445083,176.0672583062
P67910,1293.3028973781,1275.2712252098,1749.5735106294,1475.1939023005
P76658,715.210991071,733.0938565205,844.6487446198,792.9833414545
P24232,179.8367969592,228.3263888266,65.2941954232,72.3545190783
P0AEV1,57.4115152009,93.454878773,83.8196208283,82.4749283386
P0ACF8,10496.2806926405,12757.4224409515,16167.0241891436,14778.2544555839
P28631,19.383636913,20.9360420666,11.1245970189,23.7908617547
P0A9M2,773.6178251808,481.1364630155,571.4061399554,478.4277745818
P43329,74.7039600019,60.85140145,77.9008601681,50.768565998
P37024,9.1391946474,6.3549202779,8.7563213138,5.5288119333
P0A6Z1,625.1273987779,428.9200487503,257.9858506168,325.4477717277
P0A6L9,380.6516735322,230.9565735249,213.4048467085,240.748813917
P08957,219.0720202926,159.7165282216,119.4129132291,95.4884500838
P08956,16.7179723847,36.6749918116,9.9410030783,8.1426506954
P05719,52.5911066398,40.1468572383,111.1100674122,40.0820188438
P52644,110.6009069026,74.1273055082,205.6788607718,105.5367786356
P0A6Y5,1120.3271068736,1016.5509660584,1046.6101768069,970.7577996095
P0ACG8,59.4238129598,38.8021179262,126.260503456,29.0464202881
P0A6H5,1163.9434431017,1295.3114538564,1210.4931743061,1333.0961950284
P0A7B8,317.1581925038,225.401100315,420.0635830442,382.5314898314
P0AB20,65.2804899659,66.7395488531,212.2819536461,171.8278016021
P0A6Z3,1441.430665007,1507.7273136498,1384.4296047958,1732.4817321584
P23894,158.6271616059,285.5295909152,214.722269489,158.4507225573
P0ACV0,67.8640029043,51.0962996213,55.4545964103,60.6809512828
P0ACF0,16077.9770796872,17354.1801897049,20593.1332515267,20940.1083844326
P0ACF4,8803.991800843,12387.1085275378,10183.9351329292,14143.7840723551
P37595,29.8385245391,44.8783597993,30.7740865196,47.0690142224
P0C054,208.7595010608,295.1938577177,131.787273459,340.7432417116
P0C058,12.3060532481,14.5308979428,1.9913605015,11.5421656798
P0AEW4,116.5141696107,162.0101538698,161.0670289358,251.0111604793
P08200,13756.0609255224,15133.8899743163,9104.3230648096,16129.678564606
P0A8S1,337.8360227975,264.0818657992,354.5217396467,274.5729890238
P16528,29.360419954,36.6278799901,15.9708262946,22.0173243791
Q46822,12.3213720464,55.4538608757,147.0251098756,155.8021460346
P0A6X7,2574.2094279767,2658.8317660689,5938.5421239462,3456.1825172044
P0A6Y1,3834.5357760319,3975.4664982746,9074.148516696,4619.8233360601
P00956,1743.2086183294,1680.0255136087,1617.468923914,1598.5883414868
P04968,417.8199341693,265.6398027883,120.3130592559,209.0925193492
P08142,1426.7948824642,1456.9649033972,100.0683651808,591.1196060577
P05793,14784.9024486628,9325.3814159339,8981.4308516755,8469.6969409651
P05791,832.7079719884,587.5571191515,418.9480050285,483.3269767367
P0AB80,2089.5095516798,1265.8486961836,994.2970729864,1212.1760612043
P00894,1031.3154600642,828.0044991327,924.5984211192,914.6194244128
P00893,918.232249916,685.3589834806,642.2613836865,664.9489521227
P0ADF8,1461.3891195045,1873.8905190352,467.6781453756,787.194206561
P05827,18.7161196376,11.0514624571,20.3839678706,19.2752071614
P69222,2372.427971876,1519.4669209133,2707.186914655,1638.8255269977
P0A705,231.0203952875,220.1637687448,244.0423522023,224.7981281387
P0A707,3699.7238552676,3120.2701564558,4572.723385449,3206.0190171962
P0CE49,72.5363132812,122.3884599356,2.2181567489,4.4688946123
P37326,9.828656295,5.8081134005,0.0493684746,2.8611456517
B1VC82,3.3790061709,15.4370819237,33.3922590406,22.1921014635
P0AAN9,887.8806548416,1528.9039866166,281.9664472387,855.1764532704
P0AAC8,426.7987970212,284.0971951479,81.6838459973,88.6357948579
P0AGK8,2203.5574799959,1650.0925962961,437.7252743155,410.2290714139
P0A6B7,5500.4430386215,4054.5678987926,1276.0359790007,2631.3099358102
P0C0L9,628.6279504417,383.9363608868,677.4465997283,476.9130852204
P22939,188.8950224157,207.0887739818,172.5091718711,158.5443982238
P0AD57,314.9355659782,309.9582316124,297.3223832256,283.6741783897
Q46893,157.5064281935,166.0294085011,153.1295863744,146.3584025843
P62615,114.2907771605,140.3860413449,88.5977453382,99.5656587257
P62617,54.6398096096,123.0636201681,20.2230183509,175.121380983
P62620,484.314062369,402.598896728,399.2323631515,281.6221437442
P62623,201.3916563617,190.6925789827,39.854616331,135.2901870086
P0A710,366.8091116139,255.6467034568,73.5886851154,25.785285297
P0AD59,1029.8028221254,1055.4894804956,1277.9740402368,1148.1841087606
P21179,124.8449961766,152.3724427652,20.5807295477,14.8766921699
P13029,1316.0500572334,2042.6917016623,1540.7303652627,2057.3511040715
P0AB77,124.3720089277,200.0551875128,197.3504184717,230.8464976764
P31069,43.8641814774,32.2332749175,23.1287847608,22.3215765389
P37647,192.0953396892,362.6221293851,258.9145231282,284.6429102857
P76268,434.3247349668,474.7750936838,467.0326263036,513.1892357523
P21865,6.4592893677,8.1644244979,8.002183074,6.5418898546
P0A715,2065.2106652452,2099.934748071,2048.2173999322,2398.6627684554
P04951,460.6126926147,350.9392707463,516.1414522369,454.6250004579
P0ABZ4,35.2203184627,45.3565764172,46.0745568328,42.3238475648
P45395,497.1918874939,385.6613707318,375.1983060194,368.4904355141
P37769,20.4980035416,30.1765819781,8.7454436496,11.7202537197
P77338,72.3061811093,47.4521768945,81.5367995796,61.2118136507
P03819,1.2062962771,3.2411868794,21.3439276365,2.7848367411
P0A756,72.6570300805,45.4070762483,139.3011131384,84.7154724526
P0AEX3,289.0649717064,337.669017962,344.7157993632,241.2939626529
P63183,9.3434657071,6.9580015565,20.2713130778,10.7903614191
P02943,6.8517282713,39.2176304671,25.0183612668,10.4309294938
P37005,131.3257339973,90.9904607719,73.5420029577,77.4726020857
P76008,107.5926371761,100.7416582591,105.5659892456,118.3491529447
P52095,7.743389018,11.755111504,25.4856967523,15.4532935469
P52643,647.6995127944,771.1785899545,978.8667042727,872.791431813
P60785,783.439191517,708.4870523343,713.2227542455,655.9685975156
P00803,355.7438720053,361.4853037139,395.9236981996,385.9579772127
P09151,2300.2679774743,2186.5336826639,543.7724596737,1410.5264151601
P30125,3809.1933792074,3655.1369865407,1222.7305493125,2742.7406934388
P0A6A6,2105.7736704895,2435.7995676795,231.9192356105,344.4886936706
P30126,1579.0044834381,1699.6460618779,194.4090125871,272.6314885526
P07813,1597.8820093762,1322.3211600891,1317.0137477323,1288.1790504569
P0A7C2,270.5494199649,255.5964218427,356.3861309182,283.7048013745
P60955,86.3348917558,77.6494970704,86.914082955,76.7250174015
P37339,24.5214514359,33.4203193774,92.7415060187,82.5484453264
P15042,218.1751148394,201.4986547005,270.4641757575,191.9657786092
P60716,239.2635002907,350.4424167803,59.9855710122,63.6622309014
P60720,108.7426440465,64.9413458401,73.7687586189,51.0378452295
P22731,575.1183026515,613.1907287799,683.8676143439,710.8680784901
P0A9S7,456.9219076489,581.4570101285,594.8723777083,650.8157954014
P0AD96,12249.2700583323,15297.0487007492,12978.8880549147,15708.3634512262
P04816,2448.00696489,2646.7216607538,2508.1705702453,3024.8114262045
P22729,203.2079450007,210.2281130801,256.8722106182,233.3256440141
P33232,257.2688401722,519.5742542262,237.2991825348,459.9414503147
P23930,79.9198577642,63.0600886038,55.9823542968,70.1366296484
P61316,470.0245233527,389.9235230363,640.7940569891,410.5518503604
P61320,402.9106077229,513.9310353668,354.7232660664,498.6330411435
P0ADC3,98.1802623823,71.5036218609,105.8156392393,83.4095260307
P75957,338.3354240427,338.8855450385,463.8945566247,293.8995365201
P75958,59.4156119158,50.8699015338,37.0440366133,69.1504185126
P0A9M0,1103.5252561678,857.6259448889,938.0058917765,845.478560225
P0A9P0,6356.7361651849,7949.7417499427,6912.9763330131,9514.4254758194
P32099,126.9465794086,139.206221979,130.9119487137,146.7750033304
P45464,437.6499842507,408.6545984838,534.9038171771,509.108498831
P0AB38,879.7201399215,1072.8527375289,1577.6276356489,1140.0223113274
P69776,4221.3657915126,4869.6534345609,9072.5785495002,8510.9705248254
P0ADV1,523.284860551,472.8464786589,552.1096671248,428.9666093698
P0A9V1,817.7771471552,814.4045816912,1237.4277027295,948.253512004
P0ADV9,120.642825053,111.3495401932,277.0841009492,164.5993734824
P31554,599.0785689793,561.9974402058,768.4939734106,597.9442072351
P0ADC1,575.9959490597,452.7060444137,917.6108740113,500.8758275507
P0AF98,293.3204742908,262.9982463804,328.9220116275,275.8554441244
P0ADC6,108.5059350273,99.9220104828,158.963853945,140.3725061248
P0A722,492.1835340575,506.3864016717,487.344138873,565.367505044
P10441,46.688026356,49.3526175234,45.0353995805,54.6777948274
P0A725,179.9918475334,156.0528711341,168.3595972324,177.777243581
P21645,961.0968770319,874.3627495692,989.3632917026,770.8346012688
P36771,104.2448235599,241.9507545239,124.7272865474,297.7277719211
P0ACJ0,4234.7609226665,3431.014439264,5217.1411539929,4111.0377767813
P77257,44.9128136252,39.1138302966,167.9287433869,64.4137098654
P76142,140.6786357188,900.4204655475,1273.5001108185,885.9267113691
P76143,210.6894496779,839.8019514539,1198.7434418592,841.3853338174
P64461,23.797813197,55.0773499516,188.0012364346,62.1218263761
P77432,55.7649351869,67.4142752036,207.3167219529,108.2647713238
P75823,107.0180141286,130.4339904577,107.7251571229,199.4390392616
P45578,2952.4976722772,1990.1038660423,2865.1478913455,2026.5554644384
P00861,935.8947403587,628.9371993814,279.9168782368,398.4951487307
P08660,2538.9619337134,796.4504262477,687.0603744456,522.228362704
P25737,411.7435116643,232.6275686834,573.870396119,273.2596703179
P03030,15.2722196527,9.1576073224,20.1923270875,14.7805012851
P0A8N3,1815.8386820677,1430.0379091735,1585.9924301784,1684.3801087642
P0A8N5,345.7157186581,238.190708695,335.6135962334,303.4963731298
