upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P10121,8.98,4.00,3.65,12.50,2.22,11.41,3.11,4.17,10.93,10.79,4.02,13.85,1.80,7.09,7.75,28.92,9.42,6.52,5.19,4.96,5.51,2.77
P11557,6.01,3.98,4.68,4.68,3.22,3.53,4.33,3.30,3.10,6.22,2.26,4.76,10.24,18.52,7.16,13.58,7.79,8.28,5.19,1.59,0.58,7.23
P0A8M6,12.45,1.79,3.53,6.42,4.36,0.67,7.74,10.41,5.18,3.17,5.62,5.15,8.79,10.32,4.34,11.41,5.28,7.15,6.26,7.69,2.33,1.67
P23839,6.30,1.07,7.06,9.87,3.32,5.75,3.90,8.82,5.46,5.01,5.77,4.50,20.35,8.41,12.42,19.14,14.69,1.20,4.15,4.92,6.26,6.85
P0A9U3,4.71,8.67,6.43,8.31,6.63,3.97,3.11,6.35,4.12,10.11,6.47,9.10,6.90,12.45,25.30,8.98,1.39,6.52,4.94,6.28,11.15,2.59
P0A8E1,13.43,2.36,2.67,6.12,5.94,10.66,4.35,2.28,9.01,3.62,6.85,6.23,7.03,13.40,13.25,4.98,7.39,8.10,7.86,10.07,17.45,2.38
P0A6P5,18.46,2.88,19.87,17.10,10.30,8.67,5.52,21.78,11.03,11.43,5.51,12.54,21.59,9.46,9.53,5.59,7.72,6.48,10.44,14.20,16.49,0.88
P0ADV7,3.29,2.31,6.61,3.28,2.80,4.21,3.13,12.34,8.25,4.63,9.03,2.63,3.26,25.49,2.25,5.73,2.91,6.14,12.53,6.46,2.62,1.67
P00448,5.72,4.12,6.85,12.28,8.64,7.92,5.53,10.50,5.22,9.87,11.89,7.43,6.28,6.93,19.25,5.04,7.59,3.49,6.47,2.05,2.67,11.54
P08622,10.83,4.43,5.76,12.28,4.38,5.54,3.72,7.29,9.03,1.31,8.82,2.61,29.66,20.44,6.27,22.58,19.35,17.82,4.37,5.71,6.21,10.61
P0ABC3,4.23,3.79,11.25,8.75,6.46,2.16,5.95,12.22,4.29,4.79,1.19,6.04,4.73,12.21,14.78,5.51,6.32,4.34,10.60,5.26,11.69,3.33
P76403,12.87,3.00,5.14,12.17,3.55,4.59,3.21,6.83,7.80,14.36,9.16,2.76,11.82,42.48,24.46,39.93,4.97,9.44,11.55,8.72,11.29,4.02
P09147,4.53,3.68,2.01,9.11,2.23,11.15,5.13,7.68,5.78,6.73,6.02,2.32,11.20,12.45,11.50,50.06,20.22,5.22,9.02,12.44,12.73,7.24
P37747,0.75,2.81,2.81,8.45,2.66,2.74,4.00,14.75,0.81,3.30,5.99,3.17,22.45,24.62,12.28,26.66,5.65,9.86,0.98,1.67,9.06,1.22
P77211,10.97,11.35,4.56,20.82,4.61,17.63,2.25,14.46,10.32,6.82,3.94,3.48,8.57,7.11,7.80,6.38,3.30,20.36,10.25,2.81,28.78,9.61
P0A8F8,13.54,9.72,3.94,12.12,14.47,8.12,12.12,10.34,7.41,8.37,2.66,5.18,13.04,13.74,21.47,17.22,7.56,16.44,1.45,15.27,11.10,13.59
P0ACQ4,12.10,3.91,20.19,12.48,6.20,16.74,6.93,4.08,10.03,3.58,4.68,8.26,14.25,20.03,16.92,8.02,3.51,6.00,14.06,4.42,8.02,6.89
P0ACP7,12.91,5.41,9.09,13.99,9.62,6.23,8.69,13.42,9.87,2.03,5.12,6.28,7.10,3.92,12.67,14.34,14.43,3.62,10.49,6.50,6.45,6.36
P0A8N5,10.02,4.32,8.37,10.22,2.94,9.63,9.01,6.31,17.15,4.52,6.48,12.48,9.73,11.02,33.28,21.47,8.22,2.51,5.88,7.89,7.36,7.55
P0AG55,13.18,2.20,4.25,8.51,2.10,7.72,3.78,4.42,0.67,1.69,6.73,7.01,4.81,1.12,10.70,5.38,3.88,6.87,2.74,5.52,1.55,1.15
P0A847,14.70,8.72,10.02,2.85,4.00,10.25,6.07,19.52,3.91,3.23,7.04,22.03,12.23,21.59,10.49,5.29,2.74,10.60,6.11,13.56,1.37,3.91
P00954,3.27,8.92,1.03,8.46,6.69,11.48,4.41,6.50,7.84,2.44,12.67,2.47,21.23,10.25,10.27,32.58,5.31,6.10,4.68,5.16,2.40,6.45
P0AAI5,7.80,3.43,0.92,11.05,3.87,11.28,12.58,13.18,5.09,5.67,5.31,7.51,13.00,7.72,8.66,23.64,5.89,6.77,8.52,7.08,3.71,1.48
P0AEK2,8.19,4.30,6.35,5.04,7.97,3.21,5.10,4.26,10.17,0.95,2.41,4.48,1.95,13.68,13.96,15.55,12.25,6.31,7.26,5.41,7.84,7.30
P0A6T5,8.94,3.33,1.84,6.24,5.60,13.68,3.41,5.10,11.62,4.50,5.07,3.06,15.73,12.02,8.02,10.22,5.59,7.26,6.32,12.87,8.57,12.97
P30011,3.82,8.79,8.48,7.65,5.41,4.40,8.68,7.89,4.59,1.93,7.29,2.03,10.16,42.51,11.16,13.67,12.21,5.92,7.45,4.12,9.19,7.68
P0A6T3,6.76,11.32,12.43,2.84,7.60,4.79,3.42,2.79,7.13,4.63,6.92,6.38,14.45,23.92,22.30,23.75,6.06,13.80,12.43,10.45,6.30,4.00
P0A6V8,8.26,6.91,7.21,13.20,12.24,9.96,4.49,16.40,7.30,6.78,6.04,5.60,2.28,15.94,12.14,9.41,2.02,14.97,7.96,2.93,14.81,2.16
P00946,14.19,4.12,1.93,7.13,0.69,7.93,5.08,20.05,2.01,2.10,3.51,8.45,6.95,5.46,12.25,4.28,13.84,5.25,8.05,8.21,10.08,1.90
P06999,38.27,2.76,9.50,6.88,10.04,5.72,4.95,11.13,5.19,5.32,4.76,1.90,17.59,10.22,17.25,19.99,8.62,8.82,3.15,3.40,11.67,15.51
P76015,20.58,4.11,2.17,5.87,5.61,4.23,3.06,10.02,5.02,1.99,8.05,6.19,8.00,5.05,20.29,21.38,12.13,10.93,11.26,13.54,10.96,7.27
P0A993,10.40,3.68,4.45,7.21,8.80,9.01,9.55,7.87,5.03,6.50,4.81,3.23,29.37,18.03,17.13,23.53,7.84,6.79,3.99,2.93,6.62,6.58
P0AAG8,29.40,3.77,16.46,6.59,6.03,12.21,6.76,45.81,13.75,7.10,9.43,9.73,14.04,21.69,19.89,29.66,47.60,18.16,13.48,20.79,17.41,23.69
P0AG80,46.79,4.73,2.70,6.53,4.00,16.84,1.56,7.45,18.08,9.60,2.47,5.95,12.87,14.34,20.47,13.80,16.52,18.51,12.33,14.22,21.10,7.03
P0A6D3,8.91,5.11,4.58,4.04,7.46,7.44,1.39,6.07,4.22,5.63,1.88,1.73,11.13,1.43,3.86,7.84,4.48,4.53,4.94,6.70,7.86,8.65
P06986,3.90,5.49,1.58,9.76,5.29,3.87,6.69,14.13,15.89,4.17,3.41,8.67,23.78,6.51,5.64,5.58,4.37,5.27,6.49,9.99,7.85,3.30
P06988,6.33,5.77,10.44,8.17,2.57,7.48,9.15,9.74,2.91,4.59,5.27,1.41,9.00,5.23,7.41,13.61,6.67,7.32,4.46,2.20,4.98,4.11
P0AFK9,11.40,2.40,5.13,6.14,7.87,2.96,2.86,4.94,6.58,9.09,7.19,6.62,12.44,6.68,11.76,8.94,3.13,4.58,6.08,0.56,11.06,6.70
P76108,55.68,2.13,9.22,12.95,8.92,16.56,4.75,4.60,11.37,3.39,3.75,5.37,8.39,10.04,1.64,15.94,11.26,3.62,12.87,22.47,34.75,16.21
D9IX93,24.68,4.54,14.03,13.25,3.75,5.68,3.98,11.14,6.08,13.73,3.64,1.85,25.75,5.38,11.83,13.86,2.31,11.17,9.23,14.18,8.67,10.75
P0A9J8,5.40,7.50,5.46,7.31,8.55,8.88,3.57,2.00,4.24,6.48,4.51,1.59,8.87,28.12,11.07,9.85,3.95,0.77,7.27,12.94,13.66,7.47
P30859,29.36,4.40,7.87,11.53,5.93,7.36,0.93,5.95,5.39,4.85,1.95,4.40,5.69,2.56,14.91,4.94,3.20,11.19,9.03,5.20,3.23,5.39
P00904,24.24,6.47,56.38,3.57,9.15,3.06,7.15,14.69,20.52,6.09,14.12,5.49,29.27,13.55,21.04,3.54,8.24,2.26,6.99,6.61,11.93,6.46
P30125,5.21,3.26,3.82,4.68,0.89,8.33,4.43,23.26,2.50,0.55,2.10,0.78,10.71,8.27,7.60,11.26,0.24,26.25,3.91,1.63,4.93,10.96
Q46851,26.81,8.23,5.98,9.27,7.16,13.70,5.67,11.93,4.06,10.73,15.37,0.99,7.69,9.38,10.63,9.59,8.57,10.41,9.68,4.91,12.06,13.90
P77674,37.55,3.35,2.76,4.94,13.41,6.04,9.23,24.37,13.03,7.05,8.81,7.26,7.33,0.10,58.36,38.52,2.92,18.04,14.58,13.54,44.06,5.04
P26646,26.18,0.54,9.03,3.37,7.28,5.63,4.29,6.73,8.71,0.36,6.53,2.76,4.63,1.35,8.10,13.87,5.52,8.56,7.22,8.25,3.68,5.53
P0AEE1,4.52,1.60,2.64,7.57,7.48,6.62,6.85,7.78,5.04,1.13,6.58,1.46,7.80,1.62,18.69,6.10,6.56,8.66,2.79,9.28,15.84,5.72
P64451,25.95,4.13,3.77,5.07,3.73,5.39,4.66,6.06,23.23,14.74,5.65,8.29,13.22,9.96,13.67,19.55,7.16,5.54,4.05,10.83,19.44,5.38
P63224,10.90,6.91,4.83,5.30,6.05,6.31,12.98,15.27,0.17,6.52,4.37,7.27,7.63,10.41,24.11,5.52,9.07,5.76,4.64,7.18,14.44,18.64
P0ABQ0,25.47,9.22,27.58,17.69,18.09,11.13,8.42,37.88,9.18,9.59,9.85,5.31,45.54,19.29,4.78,55.24,3.28,14.56,18.94,19.07,14.46,18.89
P76372,11.81,1.45,3.76,4.92,8.09,3.11,5.03,1.55,3.86,3.79,4.94,3.90,8.77,4.23,5.40,2.31,5.96,4.95,8.53,8.10,6.47,5.49
P0AAC0,18.96,2.73,8.69,3.58,10.57,10.09,3.31,14.43,9.49,6.29,7.26,3.67,8.56,18.15,6.35,26.54,0.75,19.90,3.22,17.62,10.08,8.99
P0AA16,7.29,1.76,4.12,2.00,1.82,3.12,10.22,7.78,4.12,2.69,1.61,5.31,19.36,4.63,12.39,12.12,15.60,7.12,6.37,2.39,5.63,1.34
P0A9K3,2.87,3.46,10.93,4.11,7.00,6.68,4.39,9.76,9.37,4.02,6.85,1.94,3.58,12.04,16.76,20.97,6.31,5.66,7.75,5.81,11.17,8.50
P0ADE6,48.77,6.06,6.45,20.98,7.07,1.27,1.42,39.68,7.04,8.07,7.10,10.13,7.03,8.34,9.49,21.35,10.11,18.37,28.79,19.93,32.07,10.92
P0A8G6,43.74,5.03,3.47,7.45,8.94,6.78,4.23,6.60,14.90,4.59,1.76,5.46,4.70,4.09,13.15,20.67,8.94,12.55,5.26,19.14,23.52,3.78
P25522,1.66,11.99,7.34,11.95,8.52,10.50,8.92,12.75,6.02,13.86,3.36,2.65,13.56,5.98,10.69,14.04,4.79,11.40,10.10,8.39,10.03,14.37
P36979,20.69,9.70,6.57,12.51,5.73,3.44,5.69,4.22,7.86,2.43,6.06,4.93,24.93,10.58,41.20,40.19,8.48,12.25,3.50,10.83,1.64,6.80
P0A7B1,26.83,7.14,29.75,28.25,22.24,7.82,29.74,53.42,13.19,3.47,7.63,7.42,24.78,19.49,27.40,20.49,9.57,13.23,17.75,18.62,19.70,19.92
P16676,11.52,5.17,10.02,27.35,10.09,3.16,6.48,22.91,14.09,1.35,3.91,3.77,6.37,9.84,24.15,32.98,10.01,21.16,17.84,29.49,17.29,13.65
P45523,12.25,3.46,8.35,3.33,3.88,1.56,1.38,12.27,2.68,2.75,3.89,1.86,6.37,12.65,10.26,1.37,1.48,4.91,1.38,7.46,7.49,2.32
P0A6Y5,5.29,2.33,5.21,0.30,10.10,4.56,4.81,9.00,4.82,5.46,5.46,9.73,12.80,11.48,26.25,15.47,7.04,6.54,2.81,3.30,3.65,2.82
P77689,11.07,9.55,11.38,14.28,11.86,10.67,7.76,1.22,15.32,0.71,7.69,3.90,3.86,9.95,5.70,17.98,8.43,10.45,4.57,12.93,9.03,14.89
P22188,7.75,3.43,8.65,5.35,5.73,3.68,8.13,8.81,4.81,1.89,3.66,6.42,5.78,15.44,1.19,16.70,2.57,7.18,7.44,5.83,5.77,2.53
P37692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P39180,16.17,11.11,13.04,5.21,4.33,10.20,21.24,33.76,25.05,7.55,4.03,19.11,24.92,9.07,22.94,5.95,36.20,29.36,15.30,8.70,150.71,17.00
P21888,12.71,8.36,8.36,8.57,0.79,6.69,3.45,12.78,3.32,4.01,9.91,7.86,7.15,13.19,23.66,11.00,10.91,11.67,23.04,20.03,23.93,8.17
P0A805,11.29,3.87,3.06,4.78,11.83,1.31,3.85,8.63,6.10,4.95,6.64,3.61,7.13,6.13,5.36,15.74,3.22,1.84,2.94,2.68,6.83,3.99
P0A707,13.52,9.66,4.16,1.59,4.55,7.27,4.49,9.42,4.12,9.26,11.34,4.26,8.02,8.02,5.33,9.96,0.56,3.65,10.36,15.23,4.16,2.14
P0A7W7,15.22,1.75,5.04,5.21,5.98,12.47,4.40,5.82,2.34,3.35,6.21,3.75,5.55,7.87,3.49,10.11,3.01,3.96,3.30,5.18,9.35,2.83
P14081,18.22,14.81,5.81,10.26,2.98,2.74,12.20,22.13,14.95,15.49,4.15,15.09,15.46,8.24,14.22,7.58,9.53,11.30,4.26,5.55,3.38,19.00
P0AAI9,14.31,17.57,6.51,6.82,4.66,13.26,12.33,3.35,6.86,6.42,12.44,2.42,12.63,13.46,6.23,19.91,8.58,3.23,4.12,11.58,4.48,9.37
P09127,7.36,1.89,7.76,4.77,7.73,13.77,7.71,5.75,9.67,8.77,7.25,6.61,8.80,3.09,21.69,2.14,5.97,5.40,4.86,5.20,6.48,2.28
P31057,11.77,15.13,10.55,12.20,7.41,6.88,12.12,14.47,9.63,10.97,3.22,2.50,9.21,4.47,32.23,20.19,14.91,8.73,3.69,10.65,2.73,6.06
P31663,0.95,5.88,7.54,8.73,6.29,12.32,6.14,5.56,0.31,2.40,3.01,5.52,21.62,5.69,8.06,24.68,18.76,7.25,2.19,7.95,1.65,9.32
P04425,2.83,3.98,4.91,11.01,1.47,2.78,8.69,2.53,7.28,3.29,5.65,2.22,8.63,2.69,15.56,5.93,4.56,2.27,8.66,2.55,4.57,9.30
P69783,9.75,6.75,7.93,1.88,5.46,4.62,1.93,7.46,8.48,6.54,1.32,4.44,17.22,12.25,9.76,5.36,4.62,5.02,9.25,9.88,6.01,7.36
P0A6V1,17.50,5.74,17.08,8.31,8.86,10.19,5.77,23.46,5.89,10.02,9.52,2.98,14.38,12.05,28.15,13.46,9.96,10.61,12.24,14.82,7.90,12.30
P24215,8.48,4.18,6.63,5.39,3.95,19.18,10.93,22.14,5.67,5.45,4.12,1.70,25.94,5.02,14.78,9.00,3.30,24.60,6.53,7.82,5.66,6.18
P02924,39.04,13.64,17.87,18.97,3.09,10.59,23.33,5.47,7.30,5.79,2.86,11.15,26.05,17.39,15.49,37.17,12.48,86.89,4.98,35.51,19.79,28.56
P69811,4.15,7.65,1.45,12.72,5.84,10.49,3.95,21.00,7.04,2.51,1.36,5.38,27.12,24.41,3.14,59.00,7.77,23.22,4.82,6.47,18.23,2.41
P69831,35.72,3.77,25.68,10.38,9.09,12.96,15.01,42.07,10.59,3.93,10.33,6.29,23.24,20.77,24.66,34.34,16.19,13.77,19.90,33.31,15.25,19.31
P0AE12,25.44,7.35,9.74,16.68,8.23,5.83,12.81,15.21,13.47,3.58,6.29,1.80,20.74,1.58,17.00,21.64,9.03,5.11,13.32,12.63,10.00,8.35
P60560,10.86,5.61,7.53,0.84,5.68,6.17,0.84,12.11,11.42,0.75,3.62,4.08,11.60,10.58,16.62,9.97,3.94,9.54,5.83,3.33,2.69,6.30
P0AG16,9.19,3.50,16.61,9.39,11.61,6.38,9.59,9.00,6.10,2.21,3.26,3.50,26.99,3.78,15.71,33.70,4.85,7.31,4.56,17.62,6.00,5.78
P07024,17.76,5.29,2.20,3.84,5.91,2.52,10.82,9.13,1.68,3.57,5.39,6.53,6.17,3.29,10.58,11.39,8.31,10.16,3.03,16.88,7.33,8.29
P0A6C8,13.90,4.84,7.28,3.70,4.11,5.14,2.92,6.70,0.47,3.37,7.65,9.44,13.67,3.31,5.16,12.20,4.90,3.00,4.93,5.21,3.27,3.45
P05194,11.35,3.11,3.25,9.49,5.97,2.54,5.87,13.03,1.70,3.63,3.30,4.83,9.78,4.15,6.19,11.82,5.16,6.71,1.22,3.34,4.45,4.05
P09053,3.42,6.14,13.64,9.52,6.80,7.32,6.04,5.84,12.23,5.75,9.11,8.89,19.39,38.45,6.80,19.00,5.37,15.64,1.35,15.95,7.02,11.08
P00935,21.42,8.13,22.45,7.54,13.87,10.32,6.59,10.64,3.68,8.20,4.91,3.44,19.44,15.75,28.94,13.30,3.07,23.82,10.64,10.16,11.56,4.84
P06721,16.45,13.65,12.47,11.64,22.40,6.42,17.51,21.16,14.59,1.93,19.92,11.64,12.70,29.64,28.94,38.85,0.72,14.30,4.04,7.70,16.05,5.09
P16456,2.70,4.44,4.52,2.99,1.61,2.28,5.38,5.94,3.69,7.34,1.46,3.88,8.45,0.74,8.24,4.27,3.71,4.52,2.94,8.65,8.53,2.59
P21156,19.24,4.49,13.35,12.04,6.42,7.21,1.25,9.46,8.29,11.25,7.01,2.74,23.38,18.88,15.17,18.18,5.88,13.26,13.73,13.32,6.76,14.99
P17854,15.37,6.46,4.73,13.28,3.17,0.69,2.39,9.06,5.88,5.70,6.05,6.28,16.24,20.56,13.94,27.04,7.63,2.69,2.60,10.07,5.23,0.58
P0A6C5,25.31,1.46,12.23,19.94,7.17,8.28,6.12,24.27,7.60,5.74,3.71,13.85,33.33,14.53,10.77,19.25,16.09,5.65,7.37,47.34,10.01,5.83
P06987,2.11,5.55,5.36,8.62,2.06,9.89,6.93,7.66,9.94,7.02,2.21,0.52,23.96,5.27,17.07,7.89,6.15,7.98,5.77,11.99,12.91,9.31
P07003,54.94,8.16,14.77,4.41,7.33,5.89,10.31,13.70,13.31,7.82,10.39,3.04,5.74,14.99,21.99,8.81,10.57,11.07,4.64,7.99,35.99,7.34
P09394,19.71,7.74,7.22,11.99,5.96,19.51,4.02,15.75,8.17,5.97,14.71,8.02,20.62,26.09,3.88,49.09,26.38,10.53,22.62,15.94,17.29,13.05
P0ABA4,5.61,2.87,3.32,13.69,2.22,5.67,0.41,3.34,11.50,1.56,6.29,11.91,4.34,3.70,8.40,2.26,5.10,3.60,10.50,6.00,5.17,6.47
P25437,9.65,33.48,13.09,7.96,17.21,16.21,6.62,4.85,6.61,6.33,1.81,6.95,45.13,2.29,6.13,22.02,7.88,4.98,16.41,4.38,16.62,6.13
P38489,2.31,4.88,4.59,3.15,6.54,3.09,1.03,10.97,3.88,1.34,5.08,6.33,5.83,18.71,15.40,14.44,5.28,3.87,22.54,3.74,13.07,11.00
P37744,7.26,2.83,7.34,5.85,3.07,4.77,1.98,4.16,6.70,8.71,7.84,2.05,13.77,9.45,12.16,15.28,11.96,13.33,6.35,1.32,10.31,8.26
P0ABS1,8.35,6.70,9.44,14.64,2.22,20.54,4.87,8.04,3.88,2.53,8.35,5.56,6.07,3.04,14.22,14.20,2.20,11.84,3.31,2.80,7.72,7.21
P45577,8.24,2.07,4.56,13.01,9.65,9.68,4.21,6.45,3.74,0.80,3.24,3.71,6.67,13.53,9.83,13.47,6.21,4.31,1.23,8.17,3.67,6.22
P0A9Q1,9.71,2.74,4.13,3.50,0.94,3.89,1.44,7.88,2.78,4.90,1.83,3.07,2.09,9.76,0.64,13.42,2.60,6.79,4.83,7.63,13.42,3.05
P0AG20,24.30,6.97,9.53,26.90,7.26,7.44,2.80,37.85,14.23,10.60,9.99,1.40,13.05,1.18,18.21,20.96,5.20,20.51,8.35,14.75,7.48,9.67
P37903,20.08,11.96,4.25,15.36,5.15,6.29,7.65,7.01,6.84,3.03,7.96,7.32,8.42,7.69,14.22,21.72,7.86,5.01,11.83,1.38,7.31,8.46
P39177,21.36,10.18,1.00,5.40,9.17,8.77,5.66,9.17,20.55,7.85,6.13,14.21,5.86,6.43,6.39,11.86,15.19,10.26,6.73,2.81,18.17,15.21
P0ADW3,7.78,1.82,8.54,4.91,4.41,4.53,5.07,8.48,1.03,1.69,2.40,5.09,29.20,19.45,8.55,5.14,4.93,8.45,9.52,3.93,6.94,7.31
P0ADN2,12.27,2.57,3.75,4.76,8.53,9.21,1.15,5.59,3.31,11.91,7.33,1.61,5.28,1.90,3.35,8.85,5.05,4.80,2.14,8.26,1.44,6.96
P77774,6.69,12.13,2.64,6.26,10.25,1.87,3.80,11.56,6.49,12.07,21.08,3.99,2.37,8.67,7.74,12.69,6.14,11.14,2.80,6.43,1.04,2.17
P76113,66.98,6.07,2.00,5.83,14.65,12.65,13.45,11.01,15.96,2.77,8.07,10.41,4.13,6.19,5.96,6.97,6.54,11.19,1.93,12.84,23.78,5.41
P25519,16.82,4.17,7.24,11.48,9.49,1.35,4.06,14.07,14.44,3.88,11.11,3.47,9.56,24.13,15.63,25.84,11.85,9.98,6.96,13.73,16.36,9.51
P0ACF8,4.68,5.59,11.68,12.72,7.93,4.26,8.13,7.47,8.34,8.95,5.79,7.01,13.45,6.52,17.28,14.12,15.08,20.43,17.07,7.02,5.70,19.14
P0ACG1,11.49,1.91,4.82,7.42,7.66,2.32,0.44,15.17,5.20,2.45,7.69,11.82,9.57,3.22,7.77,12.34,2.34,8.94,5.70,8.46,12.30,9.87
P39831,5.35,7.35,9.45,7.03,4.23,4.44,3.20,10.97,7.40,2.92,13.36,0.97,5.90,4.70,10.63,5.23,10.54,7.30,8.23,5.37,1.03,0.69
P0AC02,9.19,3.94,9.19,7.16,2.10,4.98,6.07,16.52,4.83,4.72,1.58,3.13,10.89,4.19,34.65,16.54,10.62,2.27,8.91,7.50,3.46,1.68
P39286,9.46,3.82,15.98,6.37,2.57,10.17,9.14,11.58,3.23,6.60,8.98,2.57,11.89,7.51,17.31,24.76,7.35,5.76,4.70,6.90,8.98,2.19
P77247,6.25,2.90,5.26,5.03,7.73,15.78,1.91,3.68,1.20,7.46,5.45,3.00,17.36,10.72,8.73,7.68,10.60,7.97,13.98,8.77,11.56,2.28
P76536,5.65,4.65,16.70,5.48,6.43,9.73,4.52,14.23,6.53,4.24,6.09,11.26,11.85,3.02,3.06,13.21,15.05,5.99,14.37,1.66,9.06,10.15
P22255,25.66,3.73,1.27,5.00,7.35,5.22,5.12,9.38,8.63,2.00,2.31,1.84,5.72,8.60,8.83,8.05,12.60,26.98,8.46,10.84,15.84,4.07
P0A9K7,16.51,4.31,7.20,2.19,5.40,2.29,15.27,5.33,8.00,11.85,4.43,17.04,6.87,3.32,6.84,7.82,9.50,5.39,7.30,5.91,6.83,9.25
P13024,12.65,19.31,8.45,7.57,13.79,9.60,19.56,6.35,9.46,16.24,0.91,5.43,44.87,44.24,10.57,9.42,1.26,32.94,24.86,29.98,15.84,12.70
P27249,4.99,0.88,3.95,18.04,15.46,8.42,5.55,16.42,2.99,8.40,8.86,2.45,19.27,1.86,9.37,5.80,2.74,11.46,5.04,6.59,4.82,1.95
P0AC59,13.39,6.17,6.31,4.01,5.13,2.92,5.74,9.71,11.69,4.51,7.81,1.76,20.07,7.90,11.16,8.27,10.17,7.87,13.03,6.80,7.77,6.41
P0AFL3,13.96,14.60,4.72,13.11,1.80,11.37,7.19,11.44,3.25,5.82,3.18,1.23,2.79,7.41,6.60,11.84,11.33,12.43,8.21,4.74,15.15,8.09
P0A862,11.42,3.99,4.99,16.75,6.13,7.87,3.84,7.74,2.08,2.03,6.57,2.09,8.47,3.62,14.75,5.94,2.73,6.15,10.65,6.36,2.94,7.13
Q46845,22.24,1.43,4.86,5.77,4.80,3.31,5.66,9.67,8.23,9.89,2.11,6.06,7.65,9.80,6.10,8.97,1.79,3.22,4.52,7.18,12.98,6.85
P0AG14,12.76,1.04,3.70,8.37,7.54,13.66,5.15,18.25,4.88,2.04,12.90,7.73,25.39,2.69,17.25,2.12,5.93,9.67,10.80,8.57,12.38,17.35
P0A6J8,15.13,8.19,7.13,7.43,7.58,3.54,6.04,11.76,8.99,7.41,2.77,2.59,19.88,3.87,3.91,14.81,11.47,10.24,25.17,16.74,22.44,5.95
P37636,12.03,12.04,27.64,24.97,20.24,52.01,8.21,3.13,27.38,31.83,23.51,13.09,7.06,9.83,24.03,38.22,12.98,18.51,11.05,12.03,19.67,9.57
P36767,7.51,11.61,3.88,9.38,5.27,13.39,8.51,8.21,3.75,16.75,2.73,12.46,11.26,3.33,20.35,26.16,8.17,17.22,5.50,8.40,14.61,8.57
P0A6X7,7.41,4.84,9.49,8.52,6.02,7.94,7.13,8.36,2.01,2.80,10.74,1.94,16.07,7.02,3.12,23.68,9.55,4.19,3.94,5.85,4.25,3.00
P0A9F3,8.53,11.76,6.46,15.10,9.85,30.57,5.98,19.53,8.23,3.50,9.69,8.83,41.83,30.55,26.02,14.53,21.13,13.98,10.82,20.01,4.29,5.52
P76268,5.17,7.07,5.86,9.26,11.14,3.65,1.61,4.56,4.34,1.67,7.00,3.53,42.01,16.00,12.45,29.92,10.75,6.33,10.42,1.72,6.42,5.53
P0ACJ0,8.01,3.33,4.44,19.17,9.62,13.07,2.75,8.90,6.23,8.18,7.82,1.38,1.28,6.16,11.87,13.29,3.67,3.60,1.62,3.69,8.70,10.26
P0A7J7,12.28,5.77,2.12,2.84,7.64,9.73,5.52,11.33,9.40,5.17,7.03,9.87,10.67,3.46,11.57,9.01,2.01,7.24,5.12,14.87,7.15,8.56
P68919,15.68,4.33,8.93,8.20,8.66,9.99,8.50,8.39,10.34,1.82,8.47,7.56,3.48,2.93,3.08,4.40,9.27,2.24,3.08,5.62,4.49,10.89
P0A7X3,16.80,3.89,4.63,7.19,5.49,6.60,6.68,8.57,6.18,3.20,4.82,3.31,14.21,1.48,3.70,12.30,2.06,9.83,5.90,9.29,1.24,1.98
P0A9Q5,7.77,4.74,4.64,5.01,5.08,6.16,8.32,7.56,1.49,3.45,7.91,5.50,7.85,19.75,13.35,9.78,6.67,25.52,6.37,22.67,4.18,17.63
P10384,13.05,5.18,5.26,15.01,4.35,12.07,3.21,11.04,17.27,7.73,4.91,2.69,32.84,6.89,19.68,20.57,10.31,4.03,6.44,10.43,20.50,7.14
P0A8K1,7.92,12.81,5.28,11.70,8.01,4.60,4.90,6.80,3.07,3.92,1.03,7.99,11.50,5.18,7.35,13.98,8.81,17.61,7.79,6.98,5.45,11.18
P69451,11.07,10.35,12.97,5.71,10.41,23.05,23.25,15.01,10.94,1.96,9.18,5.41,4.70,11.92,21.15,69.15,19.00,4.15,11.10,11.53,14.45,32.10
P0AG84,77.48,10.64,13.22,13.94,8.05,14.73,6.12,7.85,27.87,4.92,8.30,10.05,12.97,4.82,12.30,4.47,5.20,9.76,14.37,19.09,32.26,23.48
