upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P0AD24,14.12,5.93,10.42,8.27,17.26,13.22,11.08,12.77,10.07,23.47,3.87,9.70,88.10,7.10,14.55,5.92,8.55,7.19,15.89,10.19,9.64,14.72
P33644,8.20,7.45,13.04,38.78,28.02,21.26,2.84,18.92,8.33,8.67,3.26,4.13,98.57,41.92,37.21,35.90,15.94,8.54,5.49,21.18,22.21,11.26
P52060,15.29,10.00,23.26,13.81,15.06,10.70,31.66,28.27,16.09,4.36,15.59,36.34,39.29,21.91,28.41,43.01,22.55,15.33,27.65,26.58,3.18,29.17
P67624,0.86,0.61,1.67,7.18,2.31,0.48,0.92,0.13,1.05,1.22,0.44,0.75,0.45,27.53,173.02,82.81,0.60,0.27,1.19,1.37,1.69,0.75
P23305,14.77,4.25,143.91,12.95,14.98,16.86,3.04,8.46,7.63,23.39,16.76,14.34,160.48,76.60,27.18,146.53,10.23,21.38,5.22,17.31,18.41,7.49
P0ADB7,85.40,5.35,14.19,15.97,9.80,1.64,11.23,5.03,17.88,11.22,11.83,9.71,13.96,10.65,11.59,15.22,11.84,14.22,13.91,5.21,25.24,15.40
P67697,61.60,5.23,64.02,16.64,27.84,15.11,10.85,21.64,33.56,10.69,14.69,6.05,58.33,6.00,15.96,14.38,14.80,10.65,17.41,6.18,16.90,2.87
P0AB20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P0ADV9,9.40,7.77,30.26,26.28,21.42,23.65,8.46,48.33,18.76,14.01,27.76,5.85,7.09,18.97,26.81,51.19,38.00,18.21,16.39,22.45,41.41,6.48
P0A8N0,8.81,12.51,42.44,46.91,17.59,4.61,22.93,40.23,16.90,19.85,41.44,25.79,41.41,13.30,35.58,90.60,49.19,21.41,32.83,59.76,15.09,36.44
P77182,22.78,3.12,26.54,46.97,35.66,22.21,21.76,22.56,25.64,11.63,95.79,71.20,76.07,48.39,77.39,23.01,58.20,12.49,88.78,8.64,19.70,53.98
P76079,162.59,111.32,105.83,97.19,47.76,115.48,66.07,85.96,40.36,154.36,68.08,50.16,85.96,115.99,90.17,172.22,115.16,170.10,122.41,147.02,87.11,162.65
P60782,164.41,120.72,147.17,136.46,63.70,52.19,27.23,42.12,18.30,30.92,26.82,13.50,20.76,81.24,51.34,44.79,30.76,89.07,16.53,41.84,31.69,5.11
